id,familia,documento_o_conjunto,ruta_observada,funcion,ruta_canonica_objetivo,tratamiento_version,relacion_sdd,prioridad,recomendacion,movimiento_autorizado
AD-001,SDD rector,Constitución SDD y gobernanza SDD,00_CONTROL_MAESTRO/Spec_Driven_Development/,"Define autoridad, ciclo de vida de specs, gates, decisiones y reglas de derivación.",00_CONTROL_MAESTRO/Spec_Driven_Development/,Versión en metadatos y nombre; índice estable señala la vigente.,Fuente rectora,P1,Mantener; crear índice estable de vigencia y deprecación.,no
AD-002,Specs operativas,"Specs de consentimiento, datos, privacidad, seguridad y objetos de dominio",00_CONTROL_MAESTRO/Spec_Driven_Development/Specs_Operativas/,"Expresa requisitos aprobados que condicionan arquitectura, diseño e implementación.",00_CONTROL_MAESTRO/Spec_Driven_Development/Specs_Operativas/,La versión identifica revisión; un manifest estable declara estado vigente.,Producto normativo,P1,Mantener; enlazar explícitamente hacia arquitectura y diseño derivados.,no
AD-003,Workspace SDD,Constitución y specs bajo .specify,.specify/,Espacio técnico de trabajo y trazabilidad de Spec-Driven Development.,.specify/ como workspace; 00 como autoridad documental,No debe competir como segunda constitución activa.,Herramienta/workspace,P1,Formalizar precedencia: 00 gobierna; .specify ejecuta o refleja.,no
AD-004,Arquitectura conceptual,"Modelo conceptual, POO conceptual, local-first y relaciones de dominio",00_CONTROL_MAESTRO/Spec_Driven_Development/Modelos_Conceptuales/ y 18_DOCUMENTACION_ACTIVA/Continuidad/v0_7_0/...,Traduce specs y principios en estructura conceptual del ecosistema.,02_ARQUITECTURA_Y_DISENO_DEL_ECOSISTEMA/Arquitectura_Conceptual/,Documentos vigentes visibles por función; versión conservada como metadato.,Derivado arquitectónico de specs aprobadas,P1,Simular consolidación en B6; mantener referencias a las specs fuente.,no
AD-005,Arquitectura funcional,"Mapa funcional preliminar, requisitos funcionales y flujos funcionales conceptuales",18_DOCUMENTACION_ACTIVA/Continuidad/v0_6_0/PR_NUEVO/,"Define capacidades, actores, recorridos, dependencias y comportamiento funcional.",02_ARQUITECTURA_Y_DISENO_DEL_ECOSISTEMA/Arquitectura_Funcional/,"v0.6 queda como origen histórico, no como ruta principal de descubrimiento.",Derivado funcional trazable a specs y decisiones,P1,Elevar desde continuidad a una ruta estable por función; conservar historia mediante referencias.,no
AD-006,Diseño funcional y UX,"Modelo de experiencia, recorridos, accesibilidad, interacción humano-IA y vista de facilitador",18_DOCUMENTACION_ACTIVA/Continuidad/v0_6_0/PR_NUEVO/ y v0_7_0/Arquitectura_Tecnica_Seguridad/,"Define experiencia, interacción, vistas y comportamiento observable del producto.",02_ARQUITECTURA_Y_DISENO_DEL_ECOSISTEMA/Diseno_Funcional_UX/,Versión indica madurez; índice funcional declara qué documento está vigente.,Diseño derivado y verificable frente a specs,P1,"No confundir con 12, que conserva principios de diseño instruccional universal.",no
AD-007,Arquitectura técnica,"Arquitectura local-first, modular, modelo de datos, roles, permisos, privacidad y seguridad",18_DOCUMENTACION_ACTIVA/Continuidad/v0_7_0/Arquitectura_Tecnica_Seguridad/,"Define estructura técnica, dominios, datos, controles y decisiones de implementación futura.",02_ARQUITECTURA_Y_DISENO_DEL_ECOSISTEMA/Arquitectura_Tecnica_Referencia/,"v0.7 es procedencia y baseline, no contenedor permanente.",Derivado técnico condicionado por specs y gates,P1,"Elevar a ruta estable antes de v0.8.0; 19 recibirá planes de implementación, no la arquitectura fuente.",no
AD-008,Decisiones arquitectónicas,Mapas de decisión y criterios de decisiones reversibles,00_CONTROL_MAESTRO/Spec_Driven_Development/Gobernanza/ y 18_DOCUMENTACION_ACTIVA/Continuidad/v0_7_0/.../Mapas_Decision/,"Registra decisiones de arquitectura y su relación con principios, specs y riesgos.",02_ARQUITECTURA_Y_DISENO_DEL_ECOSISTEMA/Decisiones_Arquitectonicas/ con registro autoritativo en 18/Registro_Decisiones,La decisión tiene ID estable y fecha; la versión es contexto.,Puente entre specs y arquitectura,P1,"Usar ADR o formato equivalente; 18 registra aprobación, 02 conserva la decisión arquitectónica aplicable.",no
AD-009,Validación y gates,"Gates de specs, arquitectura, diseño y seguridad",15_EVALUACION_CALIDAD_Y_AUDITORIA/ y 18_DOCUMENTACION_ACTIVA/Gates/,"Verifica que los derivados cumplen specs, seguridad, ética y criterios humanos.",15_EVALUACION_CALIDAD_Y_AUDITORIA/Gates_Checks_Evaluacion/,Gate asociado a baseline y decisión; índice estable registra resultado vigente.,Control de transición,P1,15 conserva gate y dictamen; 18 conserva memoria del proceso y la decisión.,no
AD-010,Continuidad,"Bitácoras, kits, cierres, transferencias y changelogs v0.6-v0.7",18_DOCUMENTACION_ACTIVA/Continuidad/,Explica cómo se produjo y aprobó cada bloque.,18_DOCUMENTACION_ACTIVA/Continuidad/,La versión sí es organizador legítimo porque documenta proceso histórico.,Memoria del ciclo,P1,Mantener por versión; sustituir copias de documentos sustantivos por referencias a sus rutas canónicas.,no
AD-011,Implementación,"Planes de implementación, despliegue y operación",19_IMPLEMENTACION_Y_DESPLIEGUE/,Planifica la realización de la arquitectura aprobada.,19_IMPLEMENTACION_Y_DESPLIEGUE/,Organización por release o hito de implementación.,Ejecuta specs y arquitectura tras gate,P2,No trasladar aquí los documentos fuente de arquitectura; enlazarlos.,no
AD-012,Diseño instruccional,"DUA, accesibilidad pedagógica, adaptaciones y experiencia formativa",12_DISENO_INSTRUCCIONAL_UNIVERSAL/,Define principios pedagógicos y de accesibilidad transversales.,12_DISENO_INSTRUCCIONAL_UNIVERSAL/,Principios vigentes con historial de revisión.,Restricción y criterio transversal,P2,No absorber diseño funcional del producto; actuar como fuente normativa que este debe citar.,no
