cartapacio_o_nodo_raiz,tipo_nodo,readme_directo,clasificacion_cobertura,estado_revision,confianza,observacion,decision_humana
(raiz),tecnico_especial,,nodo_tecnico_especial,requiere_criterio_tecnico_no_README_documental,media,No debe evaluarse como cartapacio documental equivalente.,pendiente
.specify,tecnico_especial,.specify/README.md,nodo_tecnico_especial,requiere_criterio_tecnico_no_README_documental,media,No debe evaluarse como cartapacio documental equivalente.,pendiente
00_CONTROL_MAESTRO,documental,00_CONTROL_MAESTRO/README.md,README_especifico_verificado,funcion_declarada_localizada,alta,Función rectora explícita y específica,pendiente
01_FUNDAMENTO_FILOSOFICO,documental,01_FUNDAMENTO_FILOSOFICO/README.md,README_especifico_verificado,funcion_declarada_localizada,alta,Función canónica explícita y específica,pendiente
02_ARQUITECTURA_CONCEPTUAL,documental,02_ARQUITECTURA_CONCEPTUAL/README.md,README_generico_verificado,deuda_definicion_funcional,alta,"README presente, pero propósito genérico y estado Pendiente_Activacion.",pendiente
03_METODOLOGIA_Y_FLUJO_DE_TRABAJO,documental,03_METODOLOGIA_Y_FLUJO_DE_TRABAJO/README.md,README_generico_verificado,deuda_definicion_funcional,alta,"README presente, pero propósito genérico y estado Pendiente_Activacion.",pendiente
04_GOBERNANZA_ETICA_Y_RIESGOS,documental,04_GOBERNANZA_ETICA_Y_RIESGOS/README.md,README_presente_no_leido_semanticamente,pendiente_extraccion_funcion,baja,Cobertura estructural confirmada; contenido semántico pendiente de lectura.,pendiente
05_COMPETENCIAS_Y_PERFILES,documental,05_COMPETENCIAS_Y_PERFILES/README.md,funcion_transversal_localizada,requiere_contraste_con_README,media,Función localizada en protocolo de rutas canónicas; falta contraste con README raíz.,pendiente
06_PASTILLAS_MODULARES,documental,06_PASTILLAS_MODULARES/README.md,README_presente_no_leido_semanticamente,pendiente_extraccion_funcion,baja,Cobertura estructural confirmada; contenido semántico pendiente de lectura.,pendiente
07_PLANTILLAS_Y_MODELOS,documental,07_PLANTILLAS_Y_MODELOS/README.md,funcion_transversal_localizada,requiere_contraste_con_README,media,Función localizada en protocolo de rutas canónicas; falta contraste con README raíz.,pendiente
08_CURSOS_PROGRAMAS_Y_TRAYECTORIAS,documental,08_CURSOS_PROGRAMAS_Y_TRAYECTORIAS/README.md,README_presente_no_leido_semanticamente,pendiente_extraccion_funcion,baja,Cobertura estructural confirmada; contenido semántico pendiente de lectura.,pendiente
09_IA_AGENTES_Y_COPILOTOS,documental,09_IA_AGENTES_Y_COPILOTOS/README.md,README_presente_no_leido_semanticamente,pendiente_extraccion_funcion,baja,Cobertura estructural confirmada; contenido semántico pendiente de lectura.,pendiente
10_REPOSITORIOS_Y_FLUJO_TECNICO,documental,10_REPOSITORIOS_Y_FLUJO_TECNICO/README.md,README_presente_no_leido_semanticamente,pendiente_extraccion_funcion,baja,Cobertura estructural confirmada; contenido semántico pendiente de lectura.,pendiente
11_MULTIMODALIDAD_Y_PUBLICACION,documental,11_MULTIMODALIDAD_Y_PUBLICACION/README.md,README_presente_no_leido_semanticamente,pendiente_extraccion_funcion,baja,Cobertura estructural confirmada; contenido semántico pendiente de lectura.,pendiente
12_DISENO_INSTRUCCIONAL_UNIVERSAL,documental,12_DISENO_INSTRUCCIONAL_UNIVERSAL/README.md,README_presente_no_leido_semanticamente,pendiente_extraccion_funcion,baja,Cobertura estructural confirmada; contenido semántico pendiente de lectura.,pendiente
13_INVESTIGACION_Y_EVIDENCIA,documental,13_INVESTIGACION_Y_EVIDENCIA/README.md,README_presente_no_leido_semanticamente,pendiente_extraccion_funcion,baja,Cobertura estructural confirmada; contenido semántico pendiente de lectura.,pendiente
14_COMUNIDAD_TRANSFERENCIA_Y_ESCALAMIENTO,documental,14_COMUNIDAD_TRANSFERENCIA_Y_ESCALAMIENTO/README.md,README_presente_no_leido_semanticamente,pendiente_extraccion_funcion,baja,Cobertura estructural confirmada; contenido semántico pendiente de lectura.,pendiente
15_EVALUACION_CALIDAD_Y_AUDITORIA,documental,15_EVALUACION_CALIDAD_Y_AUDITORIA/README.md,funcion_transversal_localizada,requiere_contraste_con_README,media,Función localizada en protocolo de rutas canónicas; falta contraste con README raíz.,pendiente
16_SEGURIDAD_PRIVACIDAD_Y_DATOS,documental,16_SEGURIDAD_PRIVACIDAD_Y_DATOS/README.md,README_presente_no_leido_semanticamente,pendiente_extraccion_funcion,baja,Cobertura estructural confirmada; contenido semántico pendiente de lectura.,pendiente
17_INTERNACIONALIZACION_LOCALIZACION,documental,17_INTERNACIONALIZACION_LOCALIZACION/README.md,README_presente_no_leido_semanticamente,pendiente_extraccion_funcion,baja,Cobertura estructural confirmada; contenido semántico pendiente de lectura.,pendiente
18_DOCUMENTACION_ACTIVA,documental,18_DOCUMENTACION_ACTIVA/README.md,funcion_transversal_localizada,requiere_contraste_con_README,media,Función localizada en protocolo de rutas canónicas; falta contraste con README raíz.,pendiente
19_IMPLEMENTACION_Y_DESPLIEGUE,documental,19_IMPLEMENTACION_Y_DESPLIEGUE/README.md,README_presente_no_leido_semanticamente,pendiente_extraccion_funcion,baja,Cobertura estructural confirmada; contenido semántico pendiente de lectura.,pendiente
20_MANTENIMIENTO_Y_EVOLUCION,documental,20_MANTENIMIENTO_Y_EVOLUCION/README.md,README_especifico_verificado,funcion_declarada_localizada,alta,Función de deuda y mantenimiento explícita,pendiente
21_WIKI_DOCUMENTACION_HUMANA,documental,21_WIKI_DOCUMENTACION_HUMANA/README.md,funcion_transversal_localizada,requiere_contraste_con_README,media,Función localizada en protocolo de rutas canónicas; falta contraste con README raíz.,pendiente
99_ARCHIVO_HISTORICO,documental,99_ARCHIVO_HISTORICO/README.md,funcion_transversal_localizada,requiere_contraste_con_README,media,Función localizada en protocolo de rutas canónicas; falta contraste con README raíz.,pendiente
prompts,tecnico_especial,,nodo_tecnico_especial,requiere_criterio_tecnico_no_README_documental,media,No debe evaluarse como cartapacio documental equivalente.,pendiente
public,tecnico_especial,,nodo_tecnico_especial,requiere_criterio_tecnico_no_README_documental,media,No debe evaluarse como cartapacio documental equivalente.,pendiente
scripts,tecnico_especial,,nodo_tecnico_especial,requiere_criterio_tecnico_no_README_documental,media,No debe evaluarse como cartapacio documental equivalente.,pendiente
src,tecnico_especial,,nodo_tecnico_especial,requiere_criterio_tecnico_no_README_documental,media,No debe evaluarse como cartapacio documental equivalente.,pendiente
