control_id,surface,expected,actual,result,severity,evidence
AUD-001,Draft PR identity,OPEN/DRAFT/feat/v1.0-release-readiness/ace90849e74cc14937e3cf9782fff90854b7849e,OPEN/true/feat/v1.0-release-readiness/ace90849e74cc14937e3cf9782fff90854b7849e,PASS,BLOCKING,GitHub PR #65
AUD-002,V10-7 exact CI,ace90849e74cc14937e3cf9782fff90854b7849e/completed/success,ace90849e74cc14937e3cf9782fff90854b7849e/completed/success,PASS,BLOCKING,GitHub Actions run 30217723516
AUD-003,V10-6 source CI,533fcf28a0c9053b7da79ca70ded80450d94cf35/completed/success,533fcf28a0c9053b7da79ca70ded80450d94cf35/completed/success,PASS,BLOCKING,GitHub Actions run 30216684999
AUD-004,V10-6 evidence CI,f888bb35abc65e6b3a6b70374b2865a96d6d7e5a/completed/success,f888bb35abc65e6b3a6b70374b2865a96d6d7e5a/completed/success,PASS,BLOCKING,GitHub Actions run 30216738433
AUD-005,Source application tree,999be850336096466da19e487f556f760a820b6f,999be850336096466da19e487f556f760a820b6f,PASS,BLOCKING,533fcf28a0c9053b7da79ca70ded80450d94cf35:apps/storylab
AUD-006,Application tree continuity,source=V10-6=V10-7,999be850336096466da19e487f556f760a820b6f/999be850336096466da19e487f556f760a820b6f/999be850336096466da19e487f556f760a820b6f,PASS,BLOCKING,Git tree comparison
AUD-007,package.json identity,7038b04ef849b3696f5319895c9be3d4ca3b85e4f9ae696a69ff7185f543c55d,7038b04ef849b3696f5319895c9be3d4ca3b85e4f9ae696a69ff7185f543c55d,PASS,BLOCKING,533fcf28a0c9053b7da79ca70ded80450d94cf35:apps/storylab/package.json
AUD-008,package-lock identity,af14ba245fe30b7d8a54ee4cbee39b9dadfb8314f23bf5cf3be0e67fec06ba04,af14ba245fe30b7d8a54ee4cbee39b9dadfb8314f23bf5cf3be0e67fec06ba04,PASS,BLOCKING,533fcf28a0c9053b7da79ca70ded80450d94cf35:apps/storylab/package-lock.json
AUD-009,Version and schema coherence,1.0.0-rc.1/0.8.0-alpha.2/RC=true/stable=false,"{""package_version"":""1.0.0-rc.1"",""lock_version"":""1.0.0-rc.1"",""lock_root_version"":""1.0.0-rc.1"",""candidate_version"":""1.0.0-rc.1"",""schema_version"":""0.8.0-alpha.2"",""rc_assigned"":true,""stable_assigned"":false}",PASS,BLOCKING,"package.json, lockfile and candidate-suite"
AUD-010,V10-6 documentary checksums,PASS,PASS,PASS,BLOCKING,18_DOCUMENTACION_ACTIVA/Continuidad/v1_0_0/V10_6_Candidata_Final_No_Publicada/CHECKSUMS_V10_6.sha256
AUD-011,V10-7 documentary checksums,PASS,PASS,PASS,BLOCKING,18_DOCUMENTACION_ACTIVA/Continuidad/v1_0_0/V10_7_Dossier_Release_Afirmaciones/CHECKSUMS_V10_7.sha256
AUD-012,Retained artifact identity,6def29a246180ec5b6f65944bec207c90a86d50bcc6823e2988865504c0cda7c/486825,6def29a246180ec5b6f65944bec207c90a86d50bcc6823e2988865504c0cda7c/486825,PASS,BLOCKING,/Users/ricardomoralesdejesus/.ai-storylab-1/operators/V10_6_CONGELAR_ALINEAR_ENSAMBLAR_RC1_R1_2026_07_26/final-unpublished-candidate/ai-storylab-1_1.0.0-rc.1_533fcf28a0c9.zip
AUD-013,Retained artifact internal verification,PASS/exact manifest,PASS,PASS,BLOCKING,/Users/ricardomoralesdejesus/.ai-storylab-1/operators/V10_A_AUDITORIA_PROCEDIMENTAL_TRAZABILIDAD_R1_2026_07_26/raw/retained-artifact-verification.json
AUD-014,Clean locked installation,npm ci --ignore-scripts PASS,PASS,PASS,BLOCKING,/Users/ricardomoralesdejesus/.ai-storylab-1/operators/V10_A_AUDITORIA_PROCEDIMENTAL_TRAZABILIDAD_R1_2026_07_26/raw/npm-ci.log
AUD-015,Independent candidate suite,PASS,PASS,PASS,BLOCKING,/Users/ricardomoralesdejesus/.ai-storylab-1/operators/V10_A_AUDITORIA_PROCEDIMENTAL_TRAZABILIDAD_R1_2026_07_26/raw/independent-verify-report.json
AUD-016,Rebuilt dist manifest,32c48badd0aee620f3b2f27f056d1ec0eb5981bcff24742d9f431b908255100b,32c48badd0aee620f3b2f27f056d1ec0eb5981bcff24742d9f431b908255100b,PASS,BLOCKING,/Users/ricardomoralesdejesus/.ai-storylab-1/operators/V10_A_AUDITORIA_PROCEDIMENTAL_TRAZABILIDAD_R1_2026_07_26/raw/independent-verify-report.json
AUD-017,Suite artifact identity,6def29a246180ec5b6f65944bec207c90a86d50bcc6823e2988865504c0cda7c,6def29a246180ec5b6f65944bec207c90a86d50bcc6823e2988865504c0cda7c,PASS,BLOCKING,/Users/ricardomoralesdejesus/.ai-storylab-1/operators/V10_A_AUDITORIA_PROCEDIMENTAL_TRAZABILIDAD_R1_2026_07_26/raw/independent-verify-report.json
AUD-018,Independent rebuilt ZIP,6def29a246180ec5b6f65944bec207c90a86d50bcc6823e2988865504c0cda7c/486825,6def29a246180ec5b6f65944bec207c90a86d50bcc6823e2988865504c0cda7c/486825,PASS,BLOCKING,/Users/ricardomoralesdejesus/.ai-storylab-1/operators/V10_A_AUDITORIA_PROCEDIMENTAL_TRAZABILIDAD_R1_2026_07_26/independent-reconstruction/artifact/ai-storylab-1_1.0.0-rc.1_533fcf28a0c9.zip
AUD-019,Retained versus rebuilt bytes,IDENTICAL,IDENTICAL,PASS,BLOCKING,cmp retained rebuilt
AUD-020,Final claims and evidence matrices,22/4/8/10/evidence=12/unsupported=0,"{""total"":22,""authorized"":4,""bounded"":8,""restricted"":10,""evidence_rows"":12,""unknown"":[],""missing_fields"":[],""unsafe_restricted"":[]}",PASS,BLOCKING,V10-7 CSV matrices
