id,ruta_actual,ruta_objetivo,tipo_cambio,contenido,accion_simulada,riesgo,dependencias,reversibilidad,orden,decision_humana
B6-R-001,02_ARQUITECTURA_CONCEPTUAL/,02_ARQUITECTURA_Y_DISENO_DEL_ECOSISTEMA/,renombre y ampliación funcional hipotética,Contenedor rector de arquitectura y diseño,crear nueva frontera funcional,alto,README raíz; índices; referencias cruzadas,alta si se ejecuta por PR separado,1,pendiente
B6-R-002,00_CONTROL_MAESTRO/Spec_Driven_Development/Modelos_Conceptuales/,02_ARQUITECTURA_Y_DISENO_DEL_ECOSISTEMA/Arquitectura_Conceptual/,traslado funcional hipotético,Modelos conceptuales derivados de specs,mover autoridad arquitectónica; mantener referencias desde SDD,alto,specs fuente; índices SDD,alta,3,pendiente
B6-R-003,18_DOCUMENTACION_ACTIVA/Continuidad/v0_6_0/PR_NUEVO/Flujos_Funcionales_Conceptuales_AI_StoryLab_v0_6.md,02_ARQUITECTURA_Y_DISENO_DEL_ECOSISTEMA/Arquitectura_Funcional/,elevación desde continuidad,Flujos funcionales conceptuales,promover documento sustantivo; dejar referencia histórica en 18,alto,bitácoras v0.6; mapa funcional,alta,4,pendiente
B6-R-004,18_DOCUMENTACION_ACTIVA/Continuidad/v0_6_0/PR_NUEVO/Modelo_Experiencia_Usuario_AI_StoryLab_v0_6.md,02_ARQUITECTURA_Y_DISENO_DEL_ECOSISTEMA/Diseno_Funcional_UX/,elevación desde continuidad,Modelo de experiencia de usuario,promover como fuente funcional vigente o baseline,alto,recorridos; criterios de interacción,alta,4,pendiente
B6-R-005,18_DOCUMENTACION_ACTIVA/Continuidad/v0_6_0/PR_NUEVO/Recorridos_Usuario_Sinteticos_AI_StoryLab_v0_6.md,02_ARQUITECTURA_Y_DISENO_DEL_ECOSISTEMA/Diseno_Funcional_UX/Recorridos_Usuario/,elevación desde continuidad,Recorridos de usuario,promover y enlazar desde continuidad,medio,modelo de experiencia,alta,4,pendiente
B6-R-006,18_DOCUMENTACION_ACTIVA/Continuidad/v0_6_0/PR_NUEVO/Criterios_Interaccion_Humano_IA_AI_StoryLab_v0_6.md,02_ARQUITECTURA_Y_DISENO_DEL_ECOSISTEMA/Diseno_Funcional_UX/Interaccion_Humano_IA/,elevación desde continuidad,Criterios de interacción humano-IA,"promover con trazabilidad a ética, perfiles y specs",alto,04; 05; 09; specs,alta,4,pendiente
B6-R-007,18_DOCUMENTACION_ACTIVA/Continuidad/v0_7_0/Arquitectura_Tecnica_Seguridad/,02_ARQUITECTURA_Y_DISENO_DEL_ECOSISTEMA/Arquitectura_Tecnica_Referencia/,elevación desde continuidad,"Arquitectura local-first, modular, datos, roles y permisos",separar documentos sustantivos de actas y cierres,crítico,16; specs; gates; decisiones,media-alta,5,pendiente
B6-R-008,18_DOCUMENTACION_ACTIVA/Continuidad/v0_7_0/.../Mapas_Decision/,02_ARQUITECTURA_Y_DISENO_DEL_ECOSISTEMA/Decisiones_Arquitectonicas/,elevación con doble referencia,Decisiones arquitectónicas aplicables,conservar documento aplicable en 02 y aprobación en 18/Registro_Decisiones,alto,IDs estables de decisión,alta,5,pendiente
B6-R-009,00_CONTROL_MAESTRO/Auditorias_Estructurales/,00_CONTROL_MAESTRO/Auditorias_Estructurales/ + 15_EVALUACION_CALIDAD_Y_AUDITORIA/Reportes_Auditoria/,separación de productos,Método de auditoría frente a reportes finales,00 conserva método e índices; 15 recibe dictamen y evidencias finales,alto,índice maestro de auditoría,alta,2,pendiente
B6-R-010,18_DOCUMENTACION_ACTIVA/Continuidad/,18_DOCUMENTACION_ACTIVA/Continuidad/,permanencia con reducción de autoridad,Memoria versionada del proceso,"mantener actas, bitácoras, kits y referencias; retirar autoridad sustantiva",alto,índices de referencia,alta,6,pendiente
B6-R-011,18_DOCUMENTACION_ACTIVA/Registro_Decisiones/,18_DOCUMENTACION_ACTIVA/Registro_Decisiones/,permanencia y normalización,Registro autoritativo de decisiones humanas,usar IDs estables y enlazar documentos afectados,medio,metadatos de decisión,alta,2,pendiente
B6-R-012,"Menciones de deuda en 00, 15 y 18",20_MANTENIMIENTO_Y_EVOLUCION/Registro_Deuda/,centralización referencial,"Deuda estructural, documental y técnica",crear registro único; mantener IDs en documentos origen,alto,taxonomía de deuda; estados,alta,2,pendiente
B6-R-013,99_ARCHIVO_HISTORICO/,99_ARCHIVO_HISTORICO/Paquetes_Cerrados/,formalización interna,Versiones cerradas y documentos sustituidos,"usar manifiesto, origen, sucesor y regla de no edición",alto,política de archivo,alta,7,pendiente
B6-R-014,21_WIKI_DOCUMENTACION_HUMANA/,21_WIKI_DOCUMENTACION_HUMANA/,permanencia como capa derivada,Guías humanas y navegación,sustituir copias rectoras por referencias versionadas,medio,índices canónicos,alta,8,pendiente
B6-R-015,07_PLANTILLAS_Y_MODELOS/,07_PLANTILLAS_Y_MODELOS/,permanencia con regla plantilla-instancia,Plantillas reutilizables,añadir metadato de tipo y derivación,medio,convenciones documentales,alta,8,pendiente
