item,verified_state,V10_0_disposition,next_gate
PR_64,MERGED_AT_83cd5983ad3e66d43a442c090ce95f3bb22ee968,RECONCILED_AS_POST_SESSION_INTEGRATION,V10_1_BLOCKED
main_head,83cd5983ad3e66d43a442c090ce95f3bb22ee968,ENTRY_BASELINE_FROZEN,V10_1_BLOCKED
v0_9_final_documentary_head,d1e64e02b754658f0ad273e982d8dfb00f7b89c9,HISTORICAL_TRUTH_PRESERVED,V10_1_BLOCKED
candidate_source_head,29585b7b692818243f59d9f0e3c0dc572597fd11,TRANSFERRED_WITHOUT_APP_CHANGE,V10_1_BLOCKED
candidate_application_tree,2b64a7ecaae3b5c86cb465fd00a952e8f48d04bd,TRANSFERRED_WITHOUT_APP_CHANGE,V10_1_BLOCKED
candidate_artifact_sha256,3287c93281d2ce73e11f41b785ca79f91b013869cc0a7caf091ff863ee67c6cf,UNPUBLISHED_EVIDENCE,V10_1_BLOCKED
candidate_suite,49_FILES_248_TESTS,TRANSFERRED_AS_PRIOR_EVIDENCE,V10_1_BLOCKED
reservations,8_PRESERVED,NO_AUTOMATIC_REPAIR,V10_2_BLOCKED
debt,28_ACCEPTED_NON_BLOCKING,IMPLEMENTATION_NOT_AUTHORIZED,V1_1_0_PROVISIONAL
PR_model,SINGLE_CONSOLIDATED_DRAFT,APPROVED_FOR_V1_0_0,READY_BLOCKED
execution_channel,VS_CODE_INTEGRATED_TERMINAL,HUMAN_EXECUTES_OPERATOR,AUTOMATIC_WRITES_BLOCKED
