knowledge_unit_id,path,sha256,role,collection_status,unit_canonicality,source_authority
KB-SDD-001,05_COMPETENCIAS_Y_PERFILES/Programador_Humanista/Base_Conocimiento_SDD/Checklist_Preimplementacion_SDD_AI_StoryLab_1_v0_4_4.md,7cf41352a738672a0a16425038f1cbcb0c740003b131659e9e25f0585a5f4e07,preimplementation_checklist,approved_collection,derived_not_inherited,SDD canonical sources in 00
KB-SDD-002,05_COMPETENCIAS_Y_PERFILES/Programador_Humanista/Base_Conocimiento_SDD/Glosario_Minimo_SDD_Programador_Humanista_AI_StoryLab_1_v0_4_4.md,7973eee71f7d55dfb28dd843dfe5ebf520b5fb03cd88e25eccc496213fe6062f,formative_glossary,approved_collection,derived_not_inherited,SDD canonical sources in 00
KB-SDD-003,05_COMPETENCIAS_Y_PERFILES/Programador_Humanista/Base_Conocimiento_SDD/Guia_Consentimiento_Informado_y_Situado_para_Programador_Humanista_AI_StoryLab_1_v0_4_4.md,5f12e265c74f3d4a7d6631ce0b2fa1b5d429dbe937cfd276dfc99cf34807df5d,formative_guide,approved_collection,derived_not_inherited,SDD canonical sources in 00
KB-SDD-004,05_COMPETENCIAS_Y_PERFILES/Programador_Humanista/Base_Conocimiento_SDD/Guia_Experiencia_Creativa_No_Rigida_para_Programador_Humanista_AI_StoryLab_1_v0_4_4.md,7579f7896c2930b78eb9c4c8481a35d51281802b02fa551affab2e88defb2f92,formative_guide,approved_collection,derived_not_inherited,SDD canonical sources in 00
KB-SDD-005,05_COMPETENCIAS_Y_PERFILES/Programador_Humanista/Base_Conocimiento_SDD/Guia_Local_First_para_Programador_Humanista_AI_StoryLab_1_v0_4_4.md,d96d72c9d1b74344bdca0c09535a7ee2810a149e434f780412e63561a642769e,formative_guide,approved_collection,derived_not_inherited,SDD canonical sources in 00
KB-SDD-006,05_COMPETENCIAS_Y_PERFILES/Programador_Humanista/Base_Conocimiento_SDD/Guia_POO_Conceptual_para_Programador_Humanista_AI_StoryLab_1_v0_4_4.md,67f975b7b9149a3c5959ef3e18d194baa64ffee3bcb33cbbc45328b0cbb8910f,formative_guide,approved_collection,derived_not_inherited,SDD canonical sources in 00
KB-SDD-007,05_COMPETENCIAS_Y_PERFILES/Programador_Humanista/Base_Conocimiento_SDD/Guia_SDD_para_Programador_Humanista_AI_StoryLab_1_v0_4_4.md,fca21ee3707d4627ccd590eb3a7b63a8c004dbcea59c095126eef3deba653a22,formative_guide,approved_collection,derived_not_inherited,SDD canonical sources in 00
KB-SDD-008,05_COMPETENCIAS_Y_PERFILES/Programador_Humanista/Base_Conocimiento_SDD/Guia_Threat_Model_para_Programador_Humanista_AI_StoryLab_1_v0_4_4.md,10336d09233bdcb27fcf152796760f745a8a977e521b59571bc0e58af4e6d181,formative_guide,approved_collection,derived_not_inherited,SDD canonical sources in 00
KB-SDD-009,05_COMPETENCIAS_Y_PERFILES/Programador_Humanista/Base_Conocimiento_SDD/Guia_Uso_Plantilla_Spec_Segura_AI_StoryLab_1_v0_4_4.md,face08a982a0e8505dfe513a868add9bf3ed1aa0ea2923689f33d31cb53cf242,formative_guide,approved_collection,derived_not_inherited,SDD canonical sources in 00
KB-SDD-010,05_COMPETENCIAS_Y_PERFILES/Programador_Humanista/Base_Conocimiento_SDD/Manifest_Base_Conocimiento_SDD_Programador_Humanista_AI_StoryLab_1_v0_4_4.md,f245e6fdfed93a8a1b0877f4b63c545b923fc38e99faf494bd8cd3515273a292,collection_manifest,approved_collection,derived_not_inherited,SDD canonical sources in 00
KB-SDD-011,05_COMPETENCIAS_Y_PERFILES/Programador_Humanista/Base_Conocimiento_SDD/Mapa_Relaciones_SDD_Programador_Humanista_AI_StoryLab_1_v0_4_4.md,83b3a9fac293cb9584dfe7569a6e5f7a61dd557d3a767f50d37c612dee54d5b1,relationship_map,approved_collection,derived_not_inherited,SDD canonical sources in 00
KB-SDD-012,05_COMPETENCIAS_Y_PERFILES/Programador_Humanista/Base_Conocimiento_SDD/README.md,6eae364960e8843d50f6c221b47e03dc7e3c79d4202a865d7356475530fb6500,collection_entry,approved_collection,derived_not_inherited,SDD canonical sources in 00
