cartapacio_raiz,archivos,profundidad_promedio,tipos_predominantes,funcion_declarada,funcion_observada_provisional,nivel_coherencia_provisional,riesgo_preliminar,decision_humana,fuente_funcion_declarada,base_evidencia,confianza_funcion_declarada,observacion_auditoria
(raiz),16,0.0,"Documento (4), Decisión (4), Configuración (3), Guía (3), Código (2)",pendiente_revision_humana,"Documento (4), Decisión (4), Configuración (3), Guía (3), Código (2)",indeterminado,pendiente,pendiente,pendiente,no revisada en fase 1,pendiente,Pendiente localizar README o documento rector.
.specify,11,2.55,"Especificación (8), Guía (2), Documento (1)",pendiente_revision_humana,"Especificación (8), Guía (2), Documento (1)",indeterminado,pendiente,pendiente,pendiente,no revisada en fase 1,pendiente,Pendiente localizar README o documento rector.
00_CONTROL_MAESTRO,53,2.49,"Especificación (12), Guía (11), Documento (9), Protocolo (6), Matriz (5)","Conservar documentos rectores que gobiernan estructura, colocación documental, versiones, mapas, índices, protocolos y SDD.","Especificación (12), Guía (11), Documento (9), Protocolo (6), Matriz (5)",indeterminado,pendiente,pendiente,00_CONTROL_MAESTRO/README.md,README de cartapacio,alta,Función declarada localizada. Coherencia final pendiente de revisión semántica.
01_FUNDAMENTO_FILOSOFICO,7,1.57,"Guía (5), Documento (2)",pendiente_revision_humana,"Guía (5), Documento (2)",indeterminado,pendiente,pendiente,pendiente,no revisada en fase 1,pendiente,Pendiente localizar README o documento rector.
02_ARQUITECTURA_CONCEPTUAL,7,1.86,"Arquitectura (6), Mapa (1)",pendiente_revision_humana,"Arquitectura (6), Mapa (1)",indeterminado,pendiente,pendiente,pendiente,no revisada en fase 1,pendiente,Pendiente localizar README o documento rector.
03_METODOLOGIA_Y_FLUJO_DE_TRABAJO,6,1.83,"Guía (3), Gate (1), Especificación (1), Continuidad (1)",pendiente_revision_humana,"Guía (3), Gate (1), Especificación (1), Continuidad (1)",indeterminado,pendiente,pendiente,pendiente,no revisada en fase 1,pendiente,Pendiente localizar README o documento rector.
04_GOBERNANZA_ETICA_Y_RIESGOS,9,1.89,"Guía (6), Documento (2), Decisión (1)",pendiente_revision_humana,"Guía (6), Documento (2), Decisión (1)",indeterminado,pendiente,pendiente,pendiente,no revisada en fase 1,pendiente,Pendiente localizar README o documento rector.
05_COMPETENCIAS_Y_PERFILES,81,3.15,"Guía (49), Documento (12), Matriz (9), Referencia (5), Continuidad (3)",Conservar perfiles de usuario y conocimiento común transversal.,"Guía (49), Documento (12), Matriz (9), Referencia (5), Continuidad (3)",indeterminado,pendiente,pendiente,00_CONTROL_MAESTRO/Reglas_Colocacion_Documental/Protocolo_Manejo_Cartapacios_AI_StoryLab_1_v0_4_4.md,Protocolo de rutas canónicas,media,Función declarada localizada. Coherencia final pendiente de revisión semántica.
06_PASTILLAS_MODULARES,5,1.8,Guía (5),pendiente_revision_humana,Guía (5),indeterminado,pendiente,pendiente,pendiente,no revisada en fase 1,pendiente,Pendiente localizar README o documento rector.
07_PLANTILLAS_Y_MODELOS,11,1.91,"Modelo (10), Referencia (1)",Conservar plantillas SDD y modelos reutilizables.,"Modelo (10), Referencia (1)",indeterminado,pendiente,pendiente,00_CONTROL_MAESTRO/Reglas_Colocacion_Documental/Protocolo_Manejo_Cartapacios_AI_StoryLab_1_v0_4_4.md,Protocolo de rutas canónicas,media,Función declarada localizada. Coherencia final pendiente de revisión semántica.
08_CURSOS_PROGRAMAS_Y_TRAYECTORIAS,7,2.29,Guía (7),pendiente_revision_humana,Guía (7),indeterminado,pendiente,pendiente,pendiente,no revisada en fase 1,pendiente,Pendiente localizar README o documento rector.
09_IA_AGENTES_Y_COPILOTOS,7,1.86,"Guía (5), Auditoría (1), Documento (1)",pendiente_revision_humana,"Guía (5), Auditoría (1), Documento (1)",indeterminado,pendiente,pendiente,pendiente,no revisada en fase 1,pendiente,Pendiente localizar README o documento rector.
10_REPOSITORIOS_Y_FLUJO_TECNICO,9,1.89,"Guía (6), Auxiliar (2), Documento (1)",pendiente_revision_humana,"Guía (6), Auxiliar (2), Documento (1)",indeterminado,pendiente,pendiente,pendiente,no revisada en fase 1,pendiente,Pendiente localizar README o documento rector.
11_MULTIMODALIDAD_Y_PUBLICACION,6,1.83,Guía (6),pendiente_revision_humana,Guía (6),indeterminado,pendiente,pendiente,pendiente,no revisada en fase 1,pendiente,Pendiente localizar README o documento rector.
12_DISENO_INSTRUCCIONAL_UNIVERSAL,6,1.83,"Guía (5), Matriz (1)",pendiente_revision_humana,"Guía (5), Matriz (1)",indeterminado,pendiente,pendiente,pendiente,no revisada en fase 1,pendiente,Pendiente localizar README o documento rector.
13_INVESTIGACION_Y_EVIDENCIA,6,1.83,Guía (6),pendiente_revision_humana,Guía (6),indeterminado,pendiente,pendiente,pendiente,no revisada en fase 1,pendiente,Pendiente localizar README o documento rector.
14_COMUNIDAD_TRANSFERENCIA_Y_ESCALAMIENTO,6,1.83,Continuidad (6),pendiente_revision_humana,Continuidad (6),indeterminado,pendiente,pendiente,pendiente,no revisada en fase 1,pendiente,Pendiente localizar README o documento rector.
15_EVALUACION_CALIDAD_Y_AUDITORIA,16,1.94,"Auditoría (11), Gate (4), Decisión (1)","Conservar reportes de auditoría, gates, checks y evidencias de validación.","Auditoría (11), Gate (4), Decisión (1)",indeterminado,pendiente,pendiente,00_CONTROL_MAESTRO/Reglas_Colocacion_Documental/Protocolo_Manejo_Cartapacios_AI_StoryLab_1_v0_4_4.md,Protocolo de rutas canónicas,media,Función declarada localizada. Coherencia final pendiente de revisión semántica.
16_SEGURIDAD_PRIVACIDAD_Y_DATOS,13,1.92,"Guía (7), Documento (3), Modelo (2), Auditoría (1)",pendiente_revision_humana,"Guía (7), Documento (3), Modelo (2), Auditoría (1)",indeterminado,pendiente,pendiente,pendiente,no revisada en fase 1,pendiente,Pendiente localizar README o documento rector.
17_INTERNACIONALIZACION_LOCALIZACION,5,1.8,"Guía (4), Referencia (1)",pendiente_revision_humana,"Guía (4), Referencia (1)",indeterminado,pendiente,pendiente,pendiente,no revisada en fase 1,pendiente,Pendiente localizar README o documento rector.
18_DOCUMENTACION_ACTIVA,334,2.9,"Continuidad (176), Auxiliar (38), Decisión (37), Gate (17), Matriz (15)","Conservar bitácoras, cierres de sesión o versión y registros de decisiones como memoria activa.","Continuidad (176), Auxiliar (38), Decisión (37), Gate (17), Matriz (15)",indeterminado,pendiente,pendiente,00_CONTROL_MAESTRO/Reglas_Colocacion_Documental/Protocolo_Manejo_Cartapacios_AI_StoryLab_1_v0_4_4.md,Protocolo de rutas canónicas,media,Función declarada localizada. Coherencia final pendiente de revisión semántica.
