claim_id,claim,status,evidence,boundary,release_wording
FCL-001,AI StoryLab 1 permanece en una fase gobernada de preparación hacia v1.0.0.,AUTHORIZED,Draft PR #65; rama feat/v1.0-release-readiness; cadena V10-0 a V10-7,"No equivale a publicación, merge, tag o release.",Preparación gobernada de AI StoryLab 1 v1.0.0.
FCL-002,Existe una candidata interna no publicada con identidad 1.0.0-rc.1.,AUTHORIZED,source commit 533fcf28a0c9053b7da79ca70ded80450d94cf35; atestación V10-6,La identidad RC es interna; no es una RC pública.,Candidata interna no publicada 1.0.0-rc.1.
FCL-003,La candidata retenida está identificada por un SHA-256 exacto.,AUTHORIZED,6def29a246180ec5b6f65944bec207c90a86d50bcc6823e2988865504c0cda7c,El hash identifica bytes; no constituye firma del autor.,SHA-256: 6def29a246180ec5b6f65944bec207c90a86d50bcc6823e2988865504c0cda7c.
FCL-004,El source commit exacto de la candidata está congelado.,AUTHORIZED,533fcf28a0c9053b7da79ca70ded80450d94cf35,El evidence commit posterior no sustituye al source commit.,Source commit: 533fcf28a0c9053b7da79ca70ded80450d94cf35.
FCL-005,Node 22 y Node 24 produjeron el mismo artefacto para el source commit.,AUTHORIZED_BOUNDED,CI 30216684999; atestación V10-6,Limitado a los entornos Ubuntu registrados.,Identidad binaria verificada en los entornos Node 22 y Node 24 registrados.
FCL-006,"La reverificación local confirmó estructura, manifiesto y checksums del ZIP.",AUTHORIZED_BOUNDED,reverification status=PASS; artifact=6def29a246180ec5b6f65944bec207c90a86d50bcc6823e2988865504c0cda7c,"Verificación interna, no auditoría externa.",El artefacto superó su verificador interno.
FCL-007,La arquitectura declarada es local-first.,AUTHORIZED_BOUNDED,Pruebas y auditorías heredadas; V10-1/V10-4,No implica soporte universal de plataforma o protocolo.,Arquitectura local-first dentro del alcance declarado.
FCL-008,El modo de datos validado para release utiliza evidencia sintética.,AUTHORIZED_BOUNDED,V10-3 real_user_data=false; V10-4 policy synthetic_only,No constituye investigación con participantes.,Validación realizada con datos sintéticos.
FCL-009,La matriz declarada de navegadores pasó la validación interna.,AUTHORIZED_BOUNDED,Safari 26.5.2 (PASS); Google Chrome 150.0.7871.184 (PASS); Firefox 152.0.1 (PASS),No implica soporte de otras versiones o navegadores.,Matriz interna validada: Safari 26.5.2 (PASS); Google Chrome 150.0.7871.184 (PASS); Firefox 152.0.1 (PASS).
FCL-010,VoiceOver con Safari pasó una atestación humana interna acotada.,AUTHORIZED_BOUNDED,V10-3 voiceover=PASS,No equivale a certificación WCAG ni a soporte universal de lectores de pantalla.,VoiceOver con Safari: atestación humana interna acotada en PASS.
FCL-011,"V10-4 cerró con seguridad, privacidad y cadena de suministro en PASS.",AUTHORIZED_BOUNDED,security_gate=PASS; blocking=0; audit snapshot 2026-07-26,Representa el estado de las fuentes y registros consultados en esa fecha.,"Auditoría interna de seguridad, privacidad y cadena de suministro en PASS para el snapshot registrado."
FCL-012,La auditoría NPM registrada reportó cero vulnerabilidades en ese snapshot.,AUTHORIZED_BOUNDED,production=0; full=0,No promete ausencia futura de advisories.,Cero vulnerabilidades NPM reportadas en el snapshot auditado.
FCL-013,Windows está soportado.,NOT_CLAIMED,RSV-04; V10-3 Windows_support=NOT_CLAIMED,Windows queda fuera del soporte declarado.,No afirmar.
FCL-014,La ejecución directa mediante file:// está soportada.,NOT_CLAIMED,RSV-05 accepted limitation,El uso documentado requiere servidor HTTP local.,No afirmar; indicar servidor HTTP local.
FCL-015,Existe soporte universal de navegadores.,NOT_CLAIMED,V10-3 universal_browser_support=NOT_CLAIMED,Solo existe una matriz específica.,No afirmar.
FCL-016,AI StoryLab 1 posee certificación WCAG.,NOT_CLAIMED,V10-3 WCAG_certification=NOT_CLAIMED,Pruebas y atestaciones internas no son certificación.,No afirmar.
FCL-017,La candidata es binariamente idéntica en todos los sistemas operativos.,NOT_CLAIMED,V10-6 universalCrossOsIdentityClaimed=false,La identidad se limita a los entornos registrados.,No afirmar.
FCL-018,El artefacto posee firma criptográfica o provenance SLSA.,NOT_CLAIMED,Atestación V10-6: notSlsaProvenance; cryptographicSignature=NOT_CLAIMED,SHA-256 no es una firma.,No afirmar.
FCL-019,V10-A constituye una auditoría externa o de tercero.,PROHIBITED_WITHOUT_NEW_EVIDENCE,RSV-08,V10-A es un checkpoint procedimental independiente.,"Usar 'auditoría procedimental independiente', nunca 'auditoría externa'."
FCL-020,La aplicación demuestra efectividad educativa o usabilidad poblacional.,PROHIBITED_WITHOUT_NEW_EVIDENCE,RSV-07; participant_research=false,Requiere investigación gobernada con participantes.,No afirmar.
FCL-021,La candidata o v1.0.0 ya están publicados.,FALSE_CURRENT_STATE,artifact_publication=false; tag=false; release=false,Cualquier publicación requiere una decisión humana posterior.,No afirmar.
FCL-022,El Draft PR está Ready for Review o autorizado para merge.,FALSE_CURRENT_STATE,Ready_for_Review=false; merge=false,El PR permanece Draft.,No afirmar.
