id,hallazgo,descripcion,impacto,probabilidad,severidad,prioridad,dominios_afectados,tratamiento_recomendado,destino,bloqueante_v1_0_0,decision_humana
B5-F-001,Autoridad transitoria del protocolo de cartapacios,"El protocolo guía actualmente las decisiones estructurales, pero conserva estado de borrador operativo.",Puede producir decisiones correctas con autoridad formal ambigua.,alta,crítica,P1,00; SDD; gobernanza documental,"Promover, sustituir o limitar explícitamente el protocolo antes de ejecutar correcciones.",B7,sí,pendiente
B5-F-002,Arquitectura y diseño ocultos por rutas versionadas,"Documentos sustantivos de arquitectura funcional, UX y arquitectura técnica permanecen bajo rutas de continuidad v0.6 y v0.7.","Debilita descubrimiento, autoridad, mantenimiento y trazabilidad hacia implementación.",alta,crítica,P1,02; 18; 19; SDD,Simular en B6 un contenedor funcional estable y referencias desde continuidad.,B6,sí,pendiente
B5-F-003,Frontera incompleta entre 00 y 15,Método de auditoría y productos finales pueden convivir sin regla explícita de traspaso.,Confunde quién gobierna el proceso y quién conserva el dictamen final.,alta,alta,P1,00; 15,"00 conserva método, reglas e índices; 15 conserva reportes, gates, dictámenes y evidencias.",B6,sí,pendiente
B5-F-004,Concentración y heterogeneidad en 18_DOCUMENTACION_ACTIVA,"18 combina memoria, continuidad, decisiones y documentos sustantivos de distintas fases.","Favorece acumulación, rutas provisionales permanentes y pérdida de autoridad documental.",alta,alta,P1,18; todos los cartapacios sustantivos,"Definir ciclo de entrada, permanencia, referencia y salida.",B6,sí,pendiente
B5-F-005,Relación no formalizada entre 00/SDD y .specify,La autoridad documental y el workspace técnico pueden parecer constituciones paralelas.,Riesgo de divergencia entre reglas rectoras y herramientas operativas.,media,alta,P1,00; .specify; 07; 05,Declarar precedencia: 00 gobierna; .specify ejecuta o refleja; 07 provee plantillas; 05 forma.,B6 y B7,sí,pendiente
B5-F-006,Ausencia de mecanismo uniforme de vigencia y deprecación,"Los documentos versionados no siempre declaran de forma uniforme cuál está vigente, cuál sustituye a otro y cuál quedó cerrado.",Puede activar documentos recientes pero no autorizados o conservar documentos sustituidos como aparentes fuentes vigentes.,alta,alta,P1,01; 00; 02; 04; 05; 15; 18,Definir metadatos mínimos e índices de vigencia por familia documental.,B6 y B7,sí,pendiente
B5-F-007,Deuda distribuida fuera de su fuente primaria,"La deuda aparece en auditorías, bitácoras, gates y planes, sin convergencia documental plenamente visible en 20.","Riesgo de duplicación, estados contradictorios y deuda olvidada.",media,alta,P1,20; 00; 15; 18,Conservar en 20 un registro único por identificador y usar referencias desde los demás cartapacios.,B6 y B7,sí,pendiente
B5-F-008,Archivo histórico sin frontera operativa suficientemente explícita,"99 cumple una función histórica real, pero requiere criterio formal de ingreso, manifiesto, no vigencia y no edición.",Material histórico puede confundirse con fuente activa o recibir mantenimiento accidental.,media,alta,P1,99; 18; todos los cartapacios,Formalizar doble condición de archivo y manifiesto mínimo.,B6 y B7,sí,pendiente
B5-F-009,Cartapacios raíz con función genérica o no activada,"Varios README raíz siguen siendo genéricos y no delimitan productos, autoridad ni fronteras.",Los cartapacios pueden convertirse en depósitos por conveniencia.,media,media,P2,02; 03; 04; 06; 08; 10; 11; 12; 14; 17; 19; 99,"Activar solo con función, productos recurrentes, frontera, README y regla de vigencia.",B6 y B7,parcial,pendiente
B5-F-010,Plantillas e instancias sin separación uniforme,Una plantilla completada puede conservar apariencia y ubicación de modelo reutilizable.,Puede confundirse formato con documento autoritativo.,media,media,P2,07; cartapacios receptores,Añadir metadato plantilla/instancia y ubicar cada instancia por función.,B7,no,pendiente
B5-F-011,Wiki y capas humanas pueden duplicar fuentes rectoras,21 y documentos de orientación pueden copiar contenido sustantivo en lugar de enlazarlo.,Riesgo de desactualización de la capa pública y contradicción con documentos fuente.,media,media,P2,21; 00; 01; 05; 15,"Tratar la wiki como capa derivada y versionada, con referencias a fuentes canónicas.",B6 y B7,parcial,pendiente
B5-F-012,Corrección estructural sin secuencia aprobada,"La auditoría identifica destinos, pero todavía no existe un orden reversible de corrección y validación.","Mover documentos sin secuencia podría romper referencias, autoridad o continuidad.",alta si se actúa prematuramente,crítica,P1,repositorio completo,B6 debe simular; B7 debe ordenar y condicionar; los cambios deben ejecutarse en PR separados.,B6 y B7,sí,ratificar
