familia_normalizada,ocurrencias,versiones_detectadas,rutas,interpretacion_provisional,riesgo,decision_humana
bitacora_capitan_vx_ai_storylab,3,v0_4_8; v0_4_9; v0_5_0,18_DOCUMENTACION_ACTIVA/Bitacoras/Bitacora_Capitan_v0_4_8_AI_StoryLab.md || 18_DOCUMENTACION_ACTIVA/Bitacoras/Bitacora_Capitan_v0_4_9_AI_StoryLab.md || 18_DOCUMENTACION_ACTIVA/Bitacoras/Bitacora_Capitan_v0_5_0_AI_StoryLab.md,familia_versionada,medio,pendiente
cierre_bitacora_capitan_vx_ai_storylab,3,v0_4_7; v0_4_8; v0_4_9,18_DOCUMENTACION_ACTIVA/Bitacoras/Cierre_Bitacora_Capitan_v0_4_7_AI_StoryLab.md || 18_DOCUMENTACION_ACTIVA/Bitacoras/Cierre_Bitacora_Capitan_v0_4_8_AI_StoryLab.md || 18_DOCUMENTACION_ACTIVA/Bitacoras/Cierre_Bitacora_Capitan_v0_4_9_AI_StoryLab.md,familia_versionada,medio,pendiente
cierre_sesion_vx_ai_storylab,3,v0_4_7; v0_4_8; v0_4_9,18_DOCUMENTACION_ACTIVA/Cierres/Cierre_Sesion_v0_4_7_AI_StoryLab.md || 18_DOCUMENTACION_ACTIVA/Cierres/Cierre_Sesion_v0_4_8_AI_StoryLab.md || 18_DOCUMENTACION_ACTIVA/Cierres/Cierre_Sesion_v0_4_9_AI_StoryLab.md,familia_versionada,medio,pendiente
prompt_activacion_vx_ai_storylab,3,v0_4_8; v0_4_9; v0_5_0,18_DOCUMENTACION_ACTIVA/Continuidad/v0_4_8/Inicio_Sesion/Prompt_Activacion_v0_4_8_AI_StoryLab.md || 18_DOCUMENTACION_ACTIVA/Continuidad/v0_4_9/Prompt_Activacion_v0_4_9_AI_StoryLab.md || 18_DOCUMENTACION_ACTIVA/Continuidad/v0_5_0/Prompt_Activacion_v0_5_0_AI_StoryLab.md,familia_versionada,medio,pendiente
transferencia_simetrica_vx_ai_storylab,3,v0_4_7; v0_4_8; v0_4_9,18_DOCUMENTACION_ACTIVA/Transferencias/Transferencia_Simetrica_v0_4_7_AI_StoryLab.md || 18_DOCUMENTACION_ACTIVA/Transferencias/Transferencia_Simetrica_v0_4_8_AI_StoryLab.md || 18_DOCUMENTACION_ACTIVA/Transferencias/Transferencia_Simetrica_v0_4_9_AI_StoryLab.md,familia_versionada,medio,pendiente
00_readme_compendio_cierre_sesion_vx,2,v0_4_2; v0_4_3,18_DOCUMENTACION_ACTIVA/Cierres_Sesion/Cierre_Sesion_v0_4_2_Continuidad_v0_4_3/00_README_Compendio_Cierre_Sesion_v0_4_2.md || 18_DOCUMENTACION_ACTIVA/Cierres_Sesion/Cierre_Sesion_v0_4_3_Continuidad_v0_4_4/00_README_Compendio_Cierre_Sesion_v0_4_3.md,familia_versionada,bajo,pendiente
01_actualizacion_bitacora_transferencia_simetrica_vx,2,v0_4_2; v0_4_3,18_DOCUMENTACION_ACTIVA/Cierres_Sesion/Cierre_Sesion_v0_4_2_Continuidad_v0_4_3/01_Actualizacion_Bitacora_Transferencia_Simetrica_v0_4_2.md || 18_DOCUMENTACION_ACTIVA/Cierres_Sesion/Cierre_Sesion_v0_4_3_Continuidad_v0_4_4/01_Actualizacion_Bitacora_Transferencia_Simetrica_v0_4_3.md,familia_versionada,bajo,pendiente
02_compendio_estado_situacion_proyecto_vx,2,v0_4_2; v0_4_3,18_DOCUMENTACION_ACTIVA/Cierres_Sesion/Cierre_Sesion_v0_4_2_Continuidad_v0_4_3/02_Compendio_Estado_Situacion_Proyecto_v0_4_2.md || 18_DOCUMENTACION_ACTIVA/Cierres_Sesion/Cierre_Sesion_v0_4_3_Continuidad_v0_4_4/02_Compendio_Estado_Situacion_Proyecto_v0_4_3.md,familia_versionada,bajo,pendiente
03_primer_continuidad_proxima_sesion_vx_a_vx,2,v0_4_2; v0_4_3; v0_4_4,18_DOCUMENTACION_ACTIVA/Cierres_Sesion/Cierre_Sesion_v0_4_2_Continuidad_v0_4_3/03_Primer_Continuidad_Proxima_Sesion_v0_4_2_a_v0_4_3.md || 18_DOCUMENTACION_ACTIVA/Cierres_Sesion/Cierre_Sesion_v0_4_3_Continuidad_v0_4_4/03_Primer_Continuidad_Proxima_Sesion_v0_4_3_a_v0_4_4.md,familia_versionada,medio,pendiente
04_prompt_activacion_proxima_sesion_vx,2,v0_4_3; v0_4_4,18_DOCUMENTACION_ACTIVA/Cierres_Sesion/Cierre_Sesion_v0_4_2_Continuidad_v0_4_3/04_Prompt_Activacion_Proxima_Sesion_v0_4_3.md || 18_DOCUMENTACION_ACTIVA/Cierres_Sesion/Cierre_Sesion_v0_4_3_Continuidad_v0_4_4/04_Prompt_Activacion_Proxima_Sesion_v0_4_4.md,familia_versionada,bajo,pendiente
05_bitacora_sesion_cierre_tareas_pendientes_vx,2,v0_4_2; v0_4_3,18_DOCUMENTACION_ACTIVA/Cierres_Sesion/Cierre_Sesion_v0_4_2_Continuidad_v0_4_3/05_Bitacora_Sesion_Cierre_Tareas_Pendientes_v0_4_2.md || 18_DOCUMENTACION_ACTIVA/Cierres_Sesion/Cierre_Sesion_v0_4_3_Continuidad_v0_4_4/05_Bitacora_Sesion_Cierre_Tareas_Pendientes_v0_4_3.md,familia_versionada,bajo,pendiente
06_calculo_deuda_pendiente_cierre_sesion_vx,2,v0_4_2; v0_4_3,18_DOCUMENTACION_ACTIVA/Cierres_Sesion/Cierre_Sesion_v0_4_2_Continuidad_v0_4_3/06_Calculo_Deuda_Pendiente_Cierre_Sesion_v0_4_2.md || 18_DOCUMENTACION_ACTIVA/Cierres_Sesion/Cierre_Sesion_v0_4_3_Continuidad_v0_4_4/06_Calculo_Deuda_Pendiente_Cierre_Sesion_v0_4_3.md,familia_versionada,bajo,pendiente
actualizacion_bitacora_capitan_vx_bloque_4_ai_storylab,2,v0_4_9; v0_5_0,18_DOCUMENTACION_ACTIVA/Bitacoras/Actualizacion_Bitacora_Capitan_v0_4_9_Bloque_4_AI_StoryLab.md || 18_DOCUMENTACION_ACTIVA/Bitacoras/Actualizacion_Bitacora_Capitan_v0_5_0_Bloque_4_AI_StoryLab.md,familia_versionada,bajo,pendiente
bitacora_capitan_ai_storylab_1_vx,2,v0_4_3; v0_4_4,21_WIKI_DOCUMENTACION_HUMANA/Bitacora_Capitan/Bitacora_Capitan_AI_StoryLab_1_v0_4_3.md || 21_WIKI_DOCUMENTACION_HUMANA/Bitacora_Capitan/Bitacora_Capitan_AI_StoryLab_1_v0_4_4.md,familia_versionada,bajo,pendiente
