fase,nombre,objetivo,acciones,pr_sugerido,gate_humano,validacion,reversion,dependencias,riesgo,abre_v0_8_0
C0,Ratificación de autoridad,Resolver la autoridad del protocolo de cartapacios y la precedencia documental de SDD.,"Aprobar, sustituir o limitar el protocolo; declarar 00 como autoridad SDD y .specify como workspace.",PR-C0-gobernanza,Aprobación explícita de reglas rectoras,No existen dos constituciones activas; las reglas de colocación tienen estado inequívoco.,Revertir únicamente documentos de gobernanza; no hay movimientos.,ninguna,crítico,no
C1,Índices y metadatos,Crear infraestructura documental antes de mover contenido.,"Definir metadatos mínimos; índices de vigencia; IDs de decisión, deuda y gates; tabla de autoridad.",PR-C1-indices-metadatos,Aprobación de esquema de metadatos e índices,"Cada familia P1 puede declarar fuente canónica, vigencia y sucesión.",Eliminar índices nuevos sin alterar documentos fuente.,C0,alto,no
C2,Preparación de contenedores,Crear estructuras vacías y README funcionales.,"Preparar nuevo 02; subrutas de 15, 20 y 99; reglas de entrada y salida de 18.",PR-C2-contenedores,Aprobación del árbol objetivo,Los contenedores tienen fronteras y no duplican autoridad.,Eliminar cartapacios vacíos y README asociados.,C1,alto,no
C3,Migración de arquitectura funcional y UX,Elevar documentos sustantivos v0.6 desde continuidad hacia el nuevo 02.,Mover por lote pequeño; conservar referencias históricas; declarar baseline o vigencia.,PR-C3-arquitectura-funcional-ux,Revisión de cada documento y destino,No hay doble fuente activa; enlaces e historia siguen navegables.,Restaurar rutas originales y retirar referencias nuevas.,C2,crítico,no
C4,Migración de arquitectura técnica y decisiones,Elevar documentos sustantivos v0.7 y normalizar decisiones arquitectónicas.,"Separar arquitectura de actas; usar IDs de decisión; enlazar specs, seguridad y gates.",PR-C4-arquitectura-tecnica-decisiones,Validación arquitectónica y de seguridad,Trazabilidad completa spec→decisión→arquitectura→gate.,Restaurar rutas y referencias previas por lote.,C2; preferiblemente C3,crítico,no
C5,Separación 00–15,Distinguir método de auditoría de resultados finales.,"Mantener protocolos e índices en 00; consolidar reportes, dictámenes, gates y evidencias en 15.",PR-C5-auditoria-calidad,Aprobación de regla de traspaso,"Cada auditoría tiene método, resultado y autoridad claramente separados.",Restaurar rutas previas conservando índice de transferencia.,C1; C2,alto,no
C6,Ciclo de vida de 18,Convertir continuidad en memoria referencial y no en depósito sustantivo.,"Sustituir copias por referencias; normalizar bitácoras, cierres, transferencias y decisiones.",PR-C6-documentacion-activa,Revisión de continuidad y cadena histórica,"Toda pieza de 18 declara fase, estado, fuente relacionada y destino.",Restaurar copias únicamente desde Git si una referencia falla.,C3; C4; C5,alto,no
C7,Centralización de deuda,Hacer de 20 la fuente primaria de deuda y evolución.,Crear IDs; consolidar estados; reemplazar registros paralelos por referencias.,PR-C7-deuda-evolucion,Aprobación del registro consolidado,No hay dos estados activos para la misma deuda.,Restaurar registros de origen y retirar IDs nuevos.,C1; C2,alto,no
C8,Formalización histórica,Establecer política operativa y manifiestos para 99.,Definir criterio de ingreso; no vigencia; sucesor; no edición; paquetes cerrados.,PR-C8-archivo-historico,Aprobación de política de archivo,Todo documento histórico tiene manifiesto y no compite con una fuente activa.,Restaurar estructura previa sin alterar contenido.,C1; C2,alto,no
C9,Capa humana e índices finales,"Actualizar README, wiki y navegación sin duplicar autoridad.",Actualizar referencias; crear onboarding; revisar enlaces; generar mapa final.,PR-C9-navegacion-humana,Prueba de navegación humana,"Una persona puede localizar fundamento, spec, arquitectura, gate, decisión y deuda.",Revertir cambios de navegación sin afectar fuentes.,C3–C8,medio,no
C10,Validación y cierre de corrección,Verificar estructura resultante y cerrar la migración documental.,"Auditar enlaces, autoridad, vigencia, referencias, deuda, archivo y reversibilidad.",PR-C10-validacion-cierre,Gate final de estructura documental,Todos los criterios de aceptación están cumplidos y no existen bloqueantes P1.,Revertir el último lote o PR específico que falle.,C0–C9,crítico,no; solo habilita evaluación independiente
