nombre_archivo,categoria,prioridad,puntaje,razones,rutas_activas,rutas_historicas,prueba_requerida,clasificacion_objetivo,estado,decision_humana
.gitignore,configuracion,P1,4,impacto_tecnico,.gitignore,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/.gitignore,comparar_blob_sha_y_contenido,D2_snapshot | D3_derivado | D4_duplicado | D8_conflicto,pendiente,pendiente
activate-context-general.md,prompt,P1,4,instruccion_agente,18_DOCUMENTACION_ACTIVA/Prompts_Activacion/activate-context-general.md,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/prompts/activation-prompts/activate-context-general.md,comparar_blob_sha_y_contenido,D2_snapshot | D3_derivado | D4_duplicado | D8_conflicto,pendiente,pendiente
activate-debugging.md,prompt,P1,4,instruccion_agente,18_DOCUMENTACION_ACTIVA/Prompts_Activacion/activate-debugging.md,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/prompts/activation-prompts/activate-debugging.md,comparar_blob_sha_y_contenido,D2_snapshot | D3_derivado | D4_duplicado | D8_conflicto,pendiente,pendiente
app.jsx,codigo,P1,4,impacto_tecnico,src/App.jsx,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/src/App.jsx,comparar_blob_sha_y_contenido,D2_snapshot | D3_derivado | D4_duplicado | D8_conflicto,pendiente,pendiente
appheader.jsx,codigo,P1,4,impacto_tecnico,src/components/AppHeader.jsx,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/src/components/AppHeader.jsx,comparar_blob_sha_y_contenido,D2_snapshot | D3_derivado | D4_duplicado | D8_conflicto,pendiente,pendiente
badges.json,datos_json,P1,4,impacto_tecnico,src/data/badges.json,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/src/data/badges.json,comparar_blob_sha_y_contenido,D2_snapshot | D3_derivado | D4_duplicado | D8_conflicto,pendiente,pendiente
badgewall.jsx,codigo,P1,4,impacto_tecnico,src/components/BadgeWall.jsx,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/src/components/BadgeWall.jsx,comparar_blob_sha_y_contenido,D2_snapshot | D3_derivado | D4_duplicado | D8_conflicto,pendiente,pendiente
build-final-submission.md,prompt,P1,4,instruccion_agente,18_DOCUMENTACION_ACTIVA/Prompts_de_Sesion/build-final-submission.md,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/prompts/task-prompts/build-final-submission.md,comparar_blob_sha_y_contenido,D2_snapshot | D3_derivado | D4_duplicado | D8_conflicto,pendiente,pendiente
build-group-dashboard.md,prompt,P1,4,instruccion_agente,18_DOCUMENTACION_ACTIVA/Prompts_de_Sesion/build-group-dashboard.md,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/prompts/task-prompts/build-group-dashboard.md,comparar_blob_sha_y_contenido,D2_snapshot | D3_derivado | D4_duplicado | D8_conflicto,pendiente,pendiente
build-localstorage.md,prompt,P1,4,instruccion_agente,18_DOCUMENTACION_ACTIVA/Prompts_de_Sesion/build-localstorage.md,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/prompts/task-prompts/build-localstorage.md,comparar_blob_sha_y_contenido,D2_snapshot | D3_derivado | D4_duplicado | D8_conflicto,pendiente,pendiente
build-structure.md,prompt,P1,4,instruccion_agente,prompts/task-prompts/build-structure.md,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/prompts/task-prompts/build-structure.md,comparar_blob_sha_y_contenido,D2_snapshot | D3_derivado | D4_duplicado | D8_conflicto,pendiente,pendiente
competencies.json,datos_json,P1,4,impacto_tecnico,src/data/competencies.json,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/src/data/competencies.json,comparar_blob_sha_y_contenido,D2_snapshot | D3_derivado | D4_duplicado | D8_conflicto,pendiente,pendiente
defaultgroupprogress.js,codigo,P1,4,impacto_tecnico,src/templates/defaultGroupProgress.js,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/src/templates/defaultGroupProgress.js,comparar_blob_sha_y_contenido,D2_snapshot | D3_derivado | D4_duplicado | D8_conflicto,pendiente,pendiente
defaultprogress.js,codigo,P1,4,impacto_tecnico,src/templates/defaultProgress.js,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/src/templates/defaultProgress.js,comparar_blob_sha_y_contenido,D2_snapshot | D3_derivado | D4_duplicado | D8_conflicto,pendiente,pendiente
ethicalreflectionbox.jsx,codigo,P1,4,impacto_tecnico,src/components/EthicalReflectionBox.jsx,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/src/components/EthicalReflectionBox.jsx,comparar_blob_sha_y_contenido,D2_snapshot | D3_derivado | D4_duplicado | D8_conflicto,pendiente,pendiente
exportimport.js,codigo,P1,4,impacto_tecnico,src/utils/exportImport.js,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/src/utils/exportImport.js,comparar_blob_sha_y_contenido,D2_snapshot | D3_derivado | D4_duplicado | D8_conflicto,pendiente,pendiente
exportimportpanel.jsx,codigo,P1,4,impacto_tecnico,src/components/ExportImportPanel.jsx,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/src/components/ExportImportPanel.jsx,comparar_blob_sha_y_contenido,D2_snapshot | D3_derivado | D4_duplicado | D8_conflicto,pendiente,pendiente
finalsubmission.js,codigo,P1,4,impacto_tecnico,src/utils/finalSubmission.js,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/src/utils/finalSubmission.js,comparar_blob_sha_y_contenido,D2_snapshot | D3_derivado | D4_duplicado | D8_conflicto,pendiente,pendiente
finalsubmissionpanel.jsx,codigo,P1,4,impacto_tecnico,src/components/FinalSubmissionPanel.jsx,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/src/components/FinalSubmissionPanel.jsx,comparar_blob_sha_y_contenido,D2_snapshot | D3_derivado | D4_duplicado | D8_conflicto,pendiente,pendiente
glossary.json,datos_json,P1,4,impacto_tecnico,src/data/glossary.json,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/src/data/glossary.json,comparar_blob_sha_y_contenido,D2_snapshot | D3_derivado | D4_duplicado | D8_conflicto,pendiente,pendiente
glossaryview.jsx,codigo,P1,4,impacto_tecnico,src/components/GlossaryView.jsx,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/src/components/GlossaryView.jsx,comparar_blob_sha_y_contenido,D2_snapshot | D3_derivado | D4_duplicado | D8_conflicto,pendiente,pendiente
groupdashboard.jsx,codigo,P1,4,impacto_tecnico,src/components/GroupDashboard.jsx,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/src/components/GroupDashboard.jsx,comparar_blob_sha_y_contenido,D2_snapshot | D3_derivado | D4_duplicado | D8_conflicto,pendiente,pendiente
groupimport.js,codigo,P1,4,impacto_tecnico,src/utils/groupImport.js,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/src/utils/groupImport.js,comparar_blob_sha_y_contenido,D2_snapshot | D3_derivado | D4_duplicado | D8_conflicto,pendiente,pendiente
localstorage.js,codigo,P1,4,impacto_tecnico,src/utils/localStorage.js,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/src/utils/localStorage.js,comparar_blob_sha_y_contenido,D2_snapshot | D3_derivado | D4_duplicado | D8_conflicto,pendiente,pendiente
ludicactivitywidget.jsx,codigo,P1,4,impacto_tecnico,src/components/LudicActivityWidget.jsx,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/src/components/LudicActivityWidget.jsx,comparar_blob_sha_y_contenido,D2_snapshot | D3_derivado | D4_duplicado | D8_conflicto,pendiente,pendiente
main.jsx,codigo,P1,4,impacto_tecnico,src/main.jsx,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/src/main.jsx,comparar_blob_sha_y_contenido,D2_snapshot | D3_derivado | D4_duplicado | D8_conflicto,pendiente,pendiente
mentoravatarcard.jsx,codigo,P1,4,impacto_tecnico,src/components/MentorAvatarCard.jsx,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/src/components/MentorAvatarCard.jsx,comparar_blob_sha_y_contenido,D2_snapshot | D3_derivado | D4_duplicado | D8_conflicto,pendiente,pendiente
missioncard.jsx,codigo,P1,4,impacto_tecnico,src/components/MissionCard.jsx,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/src/components/MissionCard.jsx,comparar_blob_sha_y_contenido,D2_snapshot | D3_derivado | D4_duplicado | D8_conflicto,pendiente,pendiente
missionmap.jsx,codigo,P1,4,impacto_tecnico,src/components/MissionMap.jsx,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/src/components/MissionMap.jsx,comparar_blob_sha_y_contenido,D2_snapshot | D3_derivado | D4_duplicado | D8_conflicto,pendiente,pendiente
missionview.jsx,codigo,P1,4,impacto_tecnico,src/components/MissionView.jsx,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/src/components/MissionView.jsx,comparar_blob_sha_y_contenido,D2_snapshot | D3_derivado | D4_duplicado | D8_conflicto,pendiente,pendiente
