package,version,scope,resolved,integrity_present,license,has_install_script,deprecated
@asamuzakjp/css-color,5.1.11,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@asamuzakjp/css-color/-/css-color-5.1.11.tgz,true,MIT,false,false
@asamuzakjp/dom-selector,7.1.1,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@asamuzakjp/dom-selector/-/dom-selector-7.1.1.tgz,true,MIT,false,false
@asamuzakjp/generational-cache,1.0.1,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@asamuzakjp/generational-cache/-/generational-cache-1.0.1.tgz,true,MIT,false,false
@asamuzakjp/nwsapi,2.3.9,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@asamuzakjp/nwsapi/-/nwsapi-2.3.9.tgz,true,MIT,false,false
@babel/code-frame,7.29.7,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@babel/code-frame/-/code-frame-7.29.7.tgz,true,MIT,false,false
@babel/helper-validator-identifier,7.29.7,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@babel/helper-validator-identifier/-/helper-validator-identifier-7.29.7.tgz,true,MIT,false,false
@babel/runtime,7.29.7,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@babel/runtime/-/runtime-7.29.7.tgz,true,MIT,false,false
@bramus/specificity,2.4.2,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@bramus/specificity/-/specificity-2.4.2.tgz,true,MIT,false,false
@csstools/color-helpers,6.1.0,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@csstools/color-helpers/-/color-helpers-6.1.0.tgz,true,MIT-0,false,false
@csstools/css-calc,3.2.1,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@csstools/css-calc/-/css-calc-3.2.1.tgz,true,MIT,false,false
@csstools/css-color-parser,4.1.9,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@csstools/css-color-parser/-/css-color-parser-4.1.9.tgz,true,MIT,false,false
@csstools/css-parser-algorithms,4.0.0,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@csstools/css-parser-algorithms/-/css-parser-algorithms-4.0.0.tgz,true,MIT,false,false
@csstools/css-syntax-patches-for-csstree,1.1.6,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@csstools/css-syntax-patches-for-csstree/-/css-syntax-patches-for-csstree-1.1.6.tgz,true,MIT-0,false,false
@csstools/css-tokenizer,4.0.0,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@csstools/css-tokenizer/-/css-tokenizer-4.0.0.tgz,true,MIT,false,false
@emnapi/core,1.11.1,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@emnapi/core/-/core-1.11.1.tgz,true,MIT,false,false
@emnapi/runtime,1.11.1,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@emnapi/runtime/-/runtime-1.11.1.tgz,true,MIT,false,false
@emnapi/wasi-threads,1.2.2,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@emnapi/wasi-threads/-/wasi-threads-1.2.2.tgz,true,MIT,false,false
@exodus/bytes,1.15.1,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@exodus/bytes/-/bytes-1.15.1.tgz,true,MIT,false,false
@jridgewell/sourcemap-codec,1.5.5,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@jridgewell/sourcemap-codec/-/sourcemap-codec-1.5.5.tgz,true,MIT,false,false
@napi-rs/wasm-runtime,1.1.6,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@napi-rs/wasm-runtime/-/wasm-runtime-1.1.6.tgz,true,MIT,false,false
@oxc-project/types,0.139.0,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@oxc-project/types/-/types-0.139.0.tgz,true,MIT,false,false
@rolldown/binding-android-arm64,1.1.5,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@rolldown/binding-android-arm64/-/binding-android-arm64-1.1.5.tgz,true,MIT,false,false
@rolldown/binding-darwin-arm64,1.1.5,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@rolldown/binding-darwin-arm64/-/binding-darwin-arm64-1.1.5.tgz,true,MIT,false,false
@rolldown/binding-darwin-x64,1.1.5,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@rolldown/binding-darwin-x64/-/binding-darwin-x64-1.1.5.tgz,true,MIT,false,false
@rolldown/binding-freebsd-x64,1.1.5,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@rolldown/binding-freebsd-x64/-/binding-freebsd-x64-1.1.5.tgz,true,MIT,false,false
@rolldown/binding-linux-arm-gnueabihf,1.1.5,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@rolldown/binding-linux-arm-gnueabihf/-/binding-linux-arm-gnueabihf-1.1.5.tgz,true,MIT,false,false
@rolldown/binding-linux-arm64-gnu,1.1.5,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@rolldown/binding-linux-arm64-gnu/-/binding-linux-arm64-gnu-1.1.5.tgz,true,MIT,false,false
@rolldown/binding-linux-arm64-musl,1.1.5,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@rolldown/binding-linux-arm64-musl/-/binding-linux-arm64-musl-1.1.5.tgz,true,MIT,false,false
@rolldown/binding-linux-ppc64-gnu,1.1.5,TRANSITIVE_DEVELOPMENT,https://registry.npmjs.org/@rolldown/binding-linux-ppc64-gnu/-/binding-linux-ppc64-gnu-1.1.5.tgz,true,MIT,false,false
