debt_id,title,priority,status,target_phase,source_section,source_register,primary_authority
DEBT-C1-001,Verificar todos los IDs documentales contra el árbol completo,P1,open,C1-D,17. Deuda creada por C1,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DEBT-C1-002,Verificar unicidad de IDs de decisiones,P1,open,C1-D,17. Deuda creada por C1,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DEBT-C1-003,Verificar unicidad de IDs de deuda,P1,open,C1-D,17. Deuda creada por C1,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DEBT-C1-004,Verificar unicidad de IDs de gates,P1,open,C1-D,17. Deuda creada por C1,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DEBT-C1-005,Confirmar que ninguna fuente activa duplicada quedó omitida,P1,open,C1-D,17. Deuda creada por C1,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DEBT-C1-006,Confirmar que el PR #30 contiene cero movimientos y eliminaciones,P1,open,C1-D,17. Deuda creada por C1,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DEBT-C1-008,Automatizar validación de registros,P2,deferred,Posterior a C10,17. Deuda creada por C1,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DEBT-DATA-EXPORT,Exportación por propósito,P1,accepted,C4 y v0.8,16. Deudas activas preservadas al cierre de v0.7,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DEBT-GALLERY,Galería pública,P1,deferred,Gate posterior,16. Deudas activas preservadas al cierre de v0.7,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DEBT-GOV-001,Formalizar una sola fuente activa por alcance,P1,accepted,C1,6. Deuda estructural y de gobernanza derivada de PR #25,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DEBT-GOV-009,"Formalizar archivo histórico, manifiestos y no vigencia",P1,open,C8,6. Deuda estructural y de gobernanza derivada de PR #25,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DEBT-GOV-010,Alinear Wiki y documentación humana con fuentes canónicas,P2,open,C9,6. Deuda estructural y de gobernanza derivada de PR #25,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DEBT-GOV-011,Validar integridad estructural completa,P1,blocked,C10,6. Deuda estructural y de gobernanza derivada de PR #25,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DEBT-GOV-012,Revisar individualmente specs de .specify,P1,blocked,C4 o C9,6. Deuda estructural y de gobernanza derivada de PR #25,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DEBT-GOV-013,Crear índice interno de la Base de Conocimiento SDD,P2,open,C9,6. Deuda estructural y de gobernanza derivada de PR #25,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DEBT-GOV-014,Automatizar índices y comprobaciones documentales,P2,deferred,Posterior a C10,6. Deuda estructural y de gobernanza derivada de PR #25,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DEBT-GROUP-PROGRESS,group_progress bajo auditoría,P1,accepted,C3–C4 y v0.8,16. Deudas activas preservadas al cierre de v0.7,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DEBT-IMPORT,Importación validada,P1,accepted,C4 y v0.8,16. Deudas activas preservadas al cierre de v0.7,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DEBT-LANGUAGE,Lenguaje no punitivo,P2,accepted,C3 y C9,16. Deudas activas preservadas al cierre de v0.7,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DEBT-PORTFOLIO,Transición a portafolio curado,P1,accepted,C3–C4 y v0.8,16. Deudas activas preservadas al cierre de v0.7,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DEBT-PRIVATE-LINK,Enlaces privados,P1,accepted,C4 y v0.8,16. Deudas activas preservadas al cierre de v0.7,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DEBT-PROMPT,Prompt como dato de alto cuidado,P1,accepted,C4 y v0.8,16. Deudas activas preservadas al cierre de v0.7,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DEBT-RESEARCH,Investigación con datos,P1,deferred,Gate posterior,16. Deudas activas preservadas al cierre de v0.7,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DEBT-TOOLS,Herramientas externas como frontera,P1,accepted,C4 y v0.8,16. Deudas activas preservadas al cierre de v0.7,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DFUX-ACC-001,Guía de lenguaje claro para misiones,P1,accepted,C3 y C9,12. Deuda de accesibilidad y claridad,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DFUX-ACC-002,Mensajes local-first canónicos,P1,accepted,C4 y C9,12. Deuda de accesibilidad y claridad,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DFUX-ACC-003,Patrones de advertencia por riesgo,P1,accepted,C4,12. Deuda de accesibilidad y claridad,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DFUX-ACC-004,Glosario funcional breve,P2,accepted,C4 o C9,12. Deuda de accesibilidad y claridad,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DFUX-ACC-005,Carga cognitiva proporcional,P2,deferred,v0.8,12. Deuda de accesibilidad y claridad,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DFUX-ACC-006,Auditoría técnica de accesibilidad,P2,deferred,v0.8–v0.9,12. Deuda de accesibilidad y claridad,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DFUX-DOC-001,Asistencia docente por misión,P1,accepted,C3 y v0.8,13. Deuda de asistencia docente,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DFUX-DOC-002,Guías para acompañar sin sustituir,P1,deferred,v0.8,13. Deuda de asistencia docente,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DFUX-DOC-003,Señales de alerta docente,P2,deferred,v0.8,13. Deuda de asistencia docente,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DFUX-DOC-004,Acompañamiento diferenciado por nivel,P1,deferred,v0.8,13. Deuda de asistencia docente,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DFUX-EVI-001,Estructura de evidencia contextualizada,P1,accepted,C3–C4,11. Deuda de evidencia y portafolio,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DFUX-EVI-002,Sensibilidad de evidencia,P1,accepted,C4,11. Deuda de evidencia y portafolio,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DFUX-EVI-003,Portafolio vivo local,P1,accepted,C3–C4,11. Deuda de evidencia y portafolio,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
DFUX-EVI-004,"Vincular evidencia, decisión y reflexión",P1,accepted,C3–C4,11. Deuda de evidencia y portafolio,00_CONTROL_MAESTRO/Estado_Gobernanza_Documental/Registro_Maestro_Deuda_Gobernanza_C1_AI_StoryLab_1.md,20_primary_active_debt_C7
