criterion_id,criterion,evidence,status,blocking,human_decision_required,notes
V08-GATE-01,Documento de apertura v0.8.0,18_DOCUMENTACION_ACTIVA/Continuidad/v0_8_0/Kit_Inicio_Continuidad_Gate_Apertura_v0_8_0/Marco_Estrategico_Apertura_v0_8_0_AI_StoryLab_1.md,prepared_for_review,yes,yes,No abre la fase por sí solo.
V08-GATE-02,Alcance técnico limitado,18_DOCUMENTACION_ACTIVA/Continuidad/v0_8_0/Kit_Inicio_Continuidad_Gate_Apertura_v0_8_0/Definicion_MVP_Tecnico_Nucleo_Creativo_Local_First_v0_8_0_AI_StoryLab_1.md,prepared_for_review,yes,yes,"Núcleo creativo local-first, un corte vertical."
V08-GATE-03,Backlog incremental,18_DOCUMENTACION_ACTIVA/Continuidad/v0_8_0/Kit_Inicio_Continuidad_Gate_Apertura_v0_8_0/Backlog_Incremental_Inicial_v0_8_0_AI_StoryLab_1.csv,prepared_for_review,yes,yes,"H08-0 a H08-5, con dependencias y exclusiones."
V08-GATE-04,Trazabilidad familia a módulo a objeto a caso de uso,18_DOCUMENTACION_ACTIVA/Continuidad/v0_8_0/Kit_Inicio_Continuidad_Gate_Apertura_v0_8_0/Matriz_Trazabilidad_SDD_MVP_v0_8_0_AI_StoryLab_1.csv,prepared_for_review,yes,yes,"Incluye principios SDD, pruebas y criterios humanos."
V08-GATE-05,Plan de datos sintéticos,18_DOCUMENTACION_ACTIVA/Continuidad/v0_8_0/Kit_Inicio_Continuidad_Gate_Apertura_v0_8_0/Plan_Datos_Sinteticos_Pruebas_v0_8_0_AI_StoryLab_1.md,prepared_for_review,yes,yes,Prohíbe datos reales en v0.8.0 salvo gate extraordinario.
V08-GATE-06,Plan de pruebas unitarias,18_DOCUMENTACION_ACTIVA/Continuidad/v0_8_0/Kit_Inicio_Continuidad_Gate_Apertura_v0_8_0/Plan_Datos_Sinteticos_Pruebas_v0_8_0_AI_StoryLab_1.md,prepared_for_review,yes,yes,"Pruebas desde objetos, invariantes y corte vertical."
V08-GATE-07,Feature flags o gates,18_DOCUMENTACION_ACTIVA/Continuidad/v0_8_0/Kit_Inicio_Continuidad_Gate_Apertura_v0_8_0/Plan_Hitos_Implementacion_Incremental_v0_8_0_AI_StoryLab_1.md,prepared_for_review,yes,yes,Capacidades sensibles permanecen desactivadas.
V08-GATE-08,Criterios de reversibilidad,18_DOCUMENTACION_ACTIVA/Continuidad/v0_8_0/Kit_Inicio_Continuidad_Gate_Apertura_v0_8_0/Registro_Riesgos_Reversibilidad_v0_8_0_AI_StoryLab_1.csv,prepared_for_review,yes,yes,Cada incremento debe poder revertirse sin pérdida de datos reales.
V08-GATE-09,Checklist de privacidad,18_DOCUMENTACION_ACTIVA/Continuidad/v0_8_0/Kit_Inicio_Continuidad_Gate_Apertura_v0_8_0/Definicion_MVP_Tecnico_Nucleo_Creativo_Local_First_v0_8_0_AI_StoryLab_1.md,prepared_for_review,yes,yes,Minimización y control local.
V08-GATE-10,Checklist de seguridad,18_DOCUMENTACION_ACTIVA/Continuidad/v0_8_0/Kit_Inicio_Continuidad_Gate_Apertura_v0_8_0/Registro_Riesgos_Reversibilidad_v0_8_0_AI_StoryLab_1.csv,prepared_for_review,yes,yes,"Entradas, importación, exportación y persistencia local."
V08-GATE-11,Checklist de no vigilancia,18_DOCUMENTACION_ACTIVA/Continuidad/v0_8_0/Kit_Inicio_Continuidad_Gate_Apertura_v0_8_0/Matriz_Impacto_PH_IT_AT_MVP_v0_8_0_AI_StoryLab_1.csv,prepared_for_review,yes,yes,Vista Facilitador fuera del primer MVP.
V08-GATE-12,Aplicación del Gate Constitucional SDD,18_DOCUMENTACION_ACTIVA/Continuidad/v0_8_0/Kit_Inicio_Continuidad_Gate_Apertura_v0_8_0/Instrumento_Preparacion_GATE_V08_OPEN_001_AI_StoryLab_1.md,prepared_for_review,yes,yes,"GATE-SDD-001 es condición necesaria, no suficiente."
V08-GATE-13,Resolución condicionada de DFUX-TRZ-005,18_DOCUMENTACION_ACTIVA/Continuidad/v0_8_0/Kit_Inicio_Continuidad_Gate_Apertura_v0_8_0/Definicion_MVP_Tecnico_Nucleo_Creativo_Local_First_v0_8_0_AI_StoryLab_1.md,resolved_effective_on_merge,yes,yes,DFUX-TRZ-005 se resuelve al fusionarse PR #50 mediante DEC-V08-OPEN-001; no declara implementado el MVP.
V08-GATE-14,Revisión humana explícita,18_DOCUMENTACION_ACTIVA/Continuidad/v0_8_0/Kit_Inicio_Continuidad_Gate_Apertura_v0_8_0/Acta_Decision_Humana_GATE_V08_OPEN_001_APROBADA_CON_RESERVAS_AI_StoryLab_1.md,approved_with_reservations_effective_on_merge,yes,yes,Decisión humana explícita registrada el 2026-07-14; efectiva con el merge del PR #50.
