id,cartapacio_raiz,funcion_optima_v1_0_0,productos_canonicos,no_debe_contener,tension_actual,ruta_canonica_o_regla,uso_transitorio_admisible,prioridad,riesgo,recomendacion_sin_ejecucion,decision_humana
RC-001,00_CONTROL_MAESTRO,"Autoridad estructural superior: reglas, mapas, índices, tablas de ubicación, convenciones y gobernanza SDD.",Reglas de cartapacios; mapas del repositorio; tablas de ubicación; convenciones; constitución y gobernanza SDD.,Bitácoras; cierres; deuda viva; reportes finales de auditoría; documentación operativa acumulativa.,"Los artefactos de trabajo del PR #25 están en Auditorias_Estructurales dentro de 00, aunque los reportes finales de auditoría tienen ruta formal en 15.","00 para método, protocolo, mapa, regla e índice rector; 15 para resultado final de auditoría.",Espacio rector de trabajo mientras la auditoría define método y controla trazabilidad.,P1,alto,Mantener los artefactos actuales durante PR #25; en B6 decidir cuáles permanecen como método rector y cuáles se referencian o consolidan en 15.,pendiente
RC-002,15_EVALUACION_CALIDAD_Y_AUDITORIA,"Plano de aseguramiento: auditorías, gates, checks, evaluación, evidencias y validación.",Reportes de auditoría; matrices de hallazgos finales; gates; checks; evidencias de validación; dictámenes de calidad.,Reglas maestras de colocación; bitácoras de sesión; deuda activa; documentación histórica completa.,Existe posible colisión con 00 por la ubicación provisional de la auditoría estructural.,"15_EVALUACION_CALIDAD_Y_AUDITORIA/Reportes_Auditoria, Gates_Checks_Evaluacion y Evidencias_Validacion.",Recibir productos finales o aprobados de auditorías desarrolladas bajo control metodológico de 00.,P1,alto,"Definir en B6 una regla de traspaso: 00 conserva método rector; 15 conserva reportes, dictámenes y evidencia final.",pendiente
RC-003,18_DOCUMENTACION_ACTIVA,"Memoria viva y continuidad operativa: bitácoras, cierres, transferencias, changelogs y decisiones registradas.",Bitácoras; cierres de sesión o versión; transferencias simétricas; registro de decisiones; changelogs operativos.,Reglas rectoras; auditorías finales; deuda como fuente primaria; archivo histórico indefinido; documentos canónicos duplicados.,Alta concentración y heterogeneidad; riesgo de convertirse en depósito general.,"18_DOCUMENTACION_ACTIVA/Bitacoras, Cierres_Sesion y Registro_Decisiones; otros tipos mediante subrutas claramente gobernadas.","Conservar memoria de la fase activa hasta que cierre, se indexe y se determine su destino histórico.",P1,alto,"Adoptar criterios de entrada, permanencia y salida. Cada documento activo debe declarar fase, vigencia, autoridad y destino al cierre.",pendiente
RC-004,20_MANTENIMIENTO_Y_EVOLUCION,"Plano evolutivo: deuda, mantenimiento, backlog estructural, actualizaciones y continuidad técnica-documental.",Registro de deuda; planes de mantenimiento; backlog evolutivo; criterios de actualización; seguimiento de obsolescencia.,Bitácoras completas; cierres; reportes de auditoría; decisiones rectoras duplicadas.,Parte de la deuda puede permanecer dispersa en 18 o 00 mediante menciones y matrices locales.,20_MANTENIMIENTO_Y_EVOLUCION/Registro_Deuda como fuente primaria; otros documentos solo referencian IDs.,"Referencias cruzadas desde gates, auditorías, bitácoras y planes.",P1,alto,Consolidar un registro único de deuda hacia v1.0.0 y prohibir copias competidoras; mantener referencias por identificador.,pendiente
RC-005,99_ARCHIVO_HISTORICO,"Preservación de versiones cerradas, estructuras sustituidas, snapshots y evidencia histórica no activa.",Versiones cerradas; documentos deprecados; snapshots; estructuras heredadas; paquetes históricos con manifiesto.,Fuentes activas; reglas vigentes sin marca histórica; documentos editables; deuda viva.,"Su función observada es fuerte, pero el README raíz continúa genérico y pendiente de activación.",99_ARCHIVO_HISTORICO bajo doble condición: cierre o sustitución demostrada y preservación trazable.,"Recibir únicamente paquetes cerrados con índice, fecha, origen, motivo y regla de no edición.",P1,alto,Formalizar antes de v1.0.0 el criterio de ingreso y una etiqueta inequívoca de no vigencia y no edición.,pendiente
RC-006,07_PLANTILLAS_Y_MODELOS,Biblioteca de artefactos reutilizables sin contenido específico de una fase.,Plantillas SDD; modelos de gates; formatos de matrices; esqueletos de informes y guías.,Instancias completadas; bitácoras; reportes finales; decisiones específicas.,Riesgo de que una plantilla completada permanezca junto al modelo y compita con documentos activos.,07 para plantillas; la instancia completada vive en el cartapacio correspondiente a su función.,Pruebas de plantilla claramente marcadas como ejemplo.,P2,medio,Añadir metadato plantilla/instancia y regla de derivación para evitar copias con autoridad ambigua.,pendiente
RC-007,05_COMPETENCIAS_Y_PERFILES,"Conocimiento común, competencias, taxonomías y perfiles humanos o funcionales.",Conocimiento común; perfiles; competencias; taxonomías; bases formativas SDD autorizadas.,Bitácoras; auditorías; deuda; documentación de implementación.,Puede acumular documentos transversales que deberían ser referencias compartidas y no copias por perfil.,05_COMPETENCIAS_Y_PERFILES y Conocimiento_Comun como fuente única transversal.,Derivados por perfil con referencia explícita a la fuente común.,P2,medio,Preservar una sola fuente canónica por concepto y usar perfiles como vistas o adaptaciones referenciadas.,pendiente
RC-008,21_WIKI_DOCUMENTACION_HUMANA,Interfaz documental humana del ecosistema estable y publicable.,Guías de uso; navegación humana; onboarding; explicaciones; manuales; FAQ.,Specs rectoras; decisiones; deuda; bitácoras; evidencia de auditoría.,Riesgo de que la wiki copie contenido rector y se desactualice.,21 para explicación humana; enlaza a fuentes rectoras sin sustituirlas.,Resúmenes y guías derivados con fecha y versión.,P2,medio,"Hacer de 21 la capa de publicación humana de v1.0.0, con referencias y generación controlada desde fuentes canónicas.",pendiente
RC-009,13_INVESTIGACION_Y_EVIDENCIA,"Investigación, metodología, evidencia académica y trazabilidad de hallazgos.",Protocolos de investigación; marcos de evidencia; resultados; instrumentos; referencias académicas.,Evidencia de validación operativa que pertenezca a 15; bitácoras generales; datos sensibles sin gobernanza.,Posible solapamiento entre evidencia investigativa y evidencia de validación.,13 para evidencia de investigación; 15 para evidencia de validación y calidad.,Referencias cruzadas entre investigación y evaluación.,P2,medio,"Definir metadato origen_evidencia e intención: investigación, validación o auditoría.",pendiente
RC-010,16_SEGURIDAD_PRIVACIDAD_Y_DATOS,"Políticas, requisitos, controles y modelos de seguridad, privacidad y datos.",Políticas; requisitos; controles; modelos de datos; consentimiento; privacidad local-first.,Gates de aprobación finales; deuda; bitácoras; reportes de auditoría.,"Documentos de seguridad pueden aparecer duplicados como specs, gates o evidencia.",16 conserva la norma o requisito; 15 conserva la evaluación de cumplimiento.,Copias de trabajo solo como referencias o anexos no autoritativos.,P2,alto,Separar fuente normativa de evidencia de cumplimiento y usar IDs de control estables hacia v1.0.0.,pendiente
