item,estado,evidencia,condicion_siguiente
H08-1.1,fulfilled,PR_53,none
H08-1.2,fulfilled,PR_54,none
H08-1.3,fulfilled,PR_55,none
H08-1.4,fulfilled,PR_56,none
H08-1.5,ready_for_review_and_merge,PR_57,merge_humano
H08-1,in_progress_until_merge,PR_57,merge_humano
README_anterior,archived,manifest_and_SHA256,immutable
README_vigente,updated,README.md,review_PR_57
H08-1A,blocked,transfer_log,merge_PR_57_plus_new_conversation
GATE-H08-1-READY-TO-CODE,pending,H08-1A_required,independent_checkpoint
H08-2,blocked,governance,approved_gate_required
