cartapacio_raiz,archivos,profundidad_promedio,tipos_predominantes,funcion_declarada,funcion_observada_provisional,nivel_coherencia_provisional,riesgo_preliminar,decision_humana,fuente_funcion_declarada,base_evidencia,confianza_funcion_declarada,observacion_auditoria,clasificacion_readme_fase_2,estado_readme_declarado,especificidad_funcional,coherencia_provisional,deuda_funcional,accion_siguiente
(raiz),16,0.0,"Documento (4), Decisión (4), Configuración (3), Guía (3), Código (2)",Nodo técnico especial; no se evalúa como cartapacio documental equivalente.,"Documento (4), Decisión (4), Configuración (3), Guía (3), Código (2)",indeterminado,pendiente,pendiente,estructura técnica observada,ruta y función técnica,media,Pendiente localizar README o documento rector.,nodo_tecnico_especial,no_aplica_convencion_documental,requiere_auditoria_tecnica,pendiente_B4_tecnico,no_determinada,evaluar bajo criterios técnicos separados
.specify,11,2.55,"Especificación (8), Guía (2), Documento (1)",Nodo técnico especial; no se evalúa como cartapacio documental equivalente.,"Especificación (8), Guía (2), Documento (1)",indeterminado,pendiente,pendiente,estructura técnica observada,ruta y función técnica,media,Pendiente localizar README o documento rector.,nodo_tecnico_especial,no_aplica_convencion_documental,requiere_auditoria_tecnica,pendiente_B4_tecnico,no_determinada,evaluar bajo criterios técnicos separados
00_CONTROL_MAESTRO,53,2.49,"Especificación (12), Guía (11), Documento (9), Protocolo (6), Matriz (5)","Conservar documentos rectores que gobiernan estructura, colocación documental, versiones, mapas, índices, protocolos y SDD.","Especificación (12), Guía (11), Documento (9), Protocolo (6), Matriz (5)",indeterminado,pendiente,pendiente,00_CONTROL_MAESTRO/README.md,README raíz específico,alta,Función declarada localizada. Coherencia final pendiente de revisión semántica.,especifico_activo,activo,alta,pendiente_contraste_con_contenido,no_confirmada,contrastar función declarada con contenido observado
01_FUNDAMENTO_FILOSOFICO,7,1.57,"Guía (5), Documento (2)","Contener el fundamento filosófico canónico, fuente superior de principios pedagógicos, competenciales, éticos y documentales.","Guía (5), Documento (2)",indeterminado,pendiente,pendiente,01_FUNDAMENTO_FILOSOFICO/README.md,README raíz específico,alta,Pendiente localizar README o documento rector.,especifico_activo,activo,alta,pendiente_contraste_con_contenido,no_confirmada,contrastar función declarada con contenido observado
02_ARQUITECTURA_CONCEPTUAL,7,1.86,"Arquitectura (6), Mapa (1)",No suficientemente definida: README genérico de estructura N3 Foundation.,"Arquitectura (6), Mapa (1)",indeterminado,pendiente,pendiente,02_ARQUITECTURA_CONCEPTUAL/README.md,README raíz genérico,alta,Pendiente localizar README o documento rector.,generico_pendiente_activacion,Pendiente_Activacion,insuficiente,no_evaluable,confirmada,localizar documento rector alternativo o proponer README en PR posterior
03_METODOLOGIA_Y_FLUJO_DE_TRABAJO,6,1.83,"Guía (3), Gate (1), Especificación (1), Continuidad (1)",No suficientemente definida: README genérico de estructura N3 Foundation.,"Guía (3), Gate (1), Especificación (1), Continuidad (1)",indeterminado,pendiente,pendiente,03_METODOLOGIA_Y_FLUJO_DE_TRABAJO/README.md,README raíz genérico,alta,Pendiente localizar README o documento rector.,generico_pendiente_activacion,Pendiente_Activacion,insuficiente,no_evaluable,confirmada,localizar documento rector alternativo o proponer README en PR posterior
04_GOBERNANZA_ETICA_Y_RIESGOS,9,1.89,"Guía (6), Documento (2), Decisión (1)",No suficientemente definida: README genérico de estructura N3 Foundation.,"Guía (6), Documento (2), Decisión (1)",indeterminado,pendiente,pendiente,04_GOBERNANZA_ETICA_Y_RIESGOS/README.md,README raíz genérico,alta,Pendiente localizar README o documento rector.,generico_pendiente_activacion,Pendiente_Activacion,insuficiente,no_evaluable,confirmada,localizar documento rector alternativo o proponer README en PR posterior
05_COMPETENCIAS_Y_PERFILES,81,3.15,"Guía (49), Documento (12), Matriz (9), Referencia (5), Continuidad (3)","Organizar competencias, perfiles creadores, perfiles de usuario, conocimiento común, matrices y taxonomías.","Guía (49), Documento (12), Matriz (9), Referencia (5), Continuidad (3)",indeterminado,pendiente,pendiente,05_COMPETENCIAS_Y_PERFILES/README.md,README raíz específico,alta,Función declarada localizada. Coherencia final pendiente de revisión semántica.,especifico_activo,activo,alta,pendiente_contraste_con_contenido,no_confirmada,contrastar función declarada con contenido observado
06_PASTILLAS_MODULARES,5,1.8,Guía (5),No suficientemente definida: README genérico de estructura N3 Foundation.,Guía (5),indeterminado,pendiente,pendiente,06_PASTILLAS_MODULARES/README.md,README raíz genérico,alta,Pendiente localizar README o documento rector.,generico_pendiente_activacion,Pendiente_Activacion,insuficiente,no_evaluable,confirmada,localizar documento rector alternativo o proponer README en PR posterior
07_PLANTILLAS_Y_MODELOS,11,1.91,"Modelo (10), Referencia (1)","Conservar plantillas, modelos y estructuras reutilizables para documentos, specs, evaluación, gobernanza, datos y SDD.","Modelo (10), Referencia (1)",indeterminado,pendiente,pendiente,07_PLANTILLAS_Y_MODELOS/README.md,README raíz específico,alta,Función declarada localizada. Coherencia final pendiente de revisión semántica.,especifico_activo,activo,alta,pendiente_contraste_con_contenido,no_confirmada,contrastar función declarada con contenido observado
08_CURSOS_PROGRAMAS_Y_TRAYECTORIAS,7,2.29,Guía (7),No suficientemente definida: README genérico de estructura N3 Foundation.,Guía (7),indeterminado,pendiente,pendiente,08_CURSOS_PROGRAMAS_Y_TRAYECTORIAS/README.md,README raíz genérico,alta,Pendiente localizar README o documento rector.,generico_pendiente_activacion,Pendiente_Activacion,insuficiente,no_evaluable,confirmada,localizar documento rector alternativo o proponer README en PR posterior
09_IA_AGENTES_Y_COPILOTOS,7,1.86,"Guía (5), Auditoría (1), Documento (1)",No suficientemente definida: README genérico de estructura N3 Foundation.,"Guía (5), Auditoría (1), Documento (1)",indeterminado,pendiente,pendiente,09_IA_AGENTES_Y_COPILOTOS/README.md,README raíz genérico,alta,Pendiente localizar README o documento rector.,generico_pendiente_activacion,Pendiente_Activacion,insuficiente,no_evaluable,confirmada,localizar documento rector alternativo o proponer README en PR posterior
10_REPOSITORIOS_Y_FLUJO_TECNICO,9,1.89,"Guía (6), Auxiliar (2), Documento (1)",No suficientemente definida: README genérico de estructura N3 Foundation.,"Guía (6), Auxiliar (2), Documento (1)",indeterminado,pendiente,pendiente,10_REPOSITORIOS_Y_FLUJO_TECNICO/README.md,README raíz genérico,alta,Pendiente localizar README o documento rector.,generico_pendiente_activacion,Pendiente_Activacion,insuficiente,no_evaluable,confirmada,localizar documento rector alternativo o proponer README en PR posterior
11_MULTIMODALIDAD_Y_PUBLICACION,6,1.83,Guía (6),No suficientemente definida: README genérico de estructura N3 Foundation.,Guía (6),indeterminado,pendiente,pendiente,11_MULTIMODALIDAD_Y_PUBLICACION/README.md,README raíz genérico,alta,Pendiente localizar README o documento rector.,generico_pendiente_activacion,Pendiente_Activacion,insuficiente,no_evaluable,confirmada,localizar documento rector alternativo o proponer README en PR posterior
12_DISENO_INSTRUCCIONAL_UNIVERSAL,6,1.83,"Guía (5), Matriz (1)",No suficientemente definida: README genérico de estructura N3 Foundation.,"Guía (5), Matriz (1)",indeterminado,pendiente,pendiente,12_DISENO_INSTRUCCIONAL_UNIVERSAL/README.md,README raíz genérico,alta,Pendiente localizar README o documento rector.,generico_pendiente_activacion,Pendiente_Activacion,insuficiente,no_evaluable,confirmada,localizar documento rector alternativo o proponer README en PR posterior
13_INVESTIGACION_Y_EVIDENCIA,6,1.83,Guía (6),No suficientemente definida: README genérico de estructura N3 Foundation.,Guía (6),indeterminado,pendiente,pendiente,13_INVESTIGACION_Y_EVIDENCIA/README.md,README raíz genérico,alta,Pendiente localizar README o documento rector.,generico_pendiente_activacion,Pendiente_Activacion,insuficiente,no_evaluable,confirmada,localizar documento rector alternativo o proponer README en PR posterior
14_COMUNIDAD_TRANSFERENCIA_Y_ESCALAMIENTO,6,1.83,Continuidad (6),pendiente_revision_humana,Continuidad (6),indeterminado,pendiente,pendiente,pendiente,no revisada en fase 1,pendiente,Pendiente localizar README o documento rector.,pendiente_lectura_final,pendiente,pendiente,no_evaluable,potencial,leer README raíz y clasificar
15_EVALUACION_CALIDAD_Y_AUDITORIA,16,1.94,"Auditoría (11), Gate (4), Decisión (1)","Conservar auditorías, gates, checks, evidencias de validación y evaluación de calidad, seguridad, IA y sistema.","Auditoría (11), Gate (4), Decisión (1)",indeterminado,pendiente,pendiente,15_EVALUACION_CALIDAD_Y_AUDITORIA/README.md,README raíz específico,alta,Función declarada localizada. Coherencia final pendiente de revisión semántica.,especifico_activo,activo,alta,pendiente_contraste_con_contenido,no_confirmada,contrastar función declarada con contenido observado
16_SEGURIDAD_PRIVACIDAD_Y_DATOS,13,1.92,"Guía (7), Documento (3), Modelo (2), Auditoría (1)",No suficientemente definida: README genérico de estructura N3 Foundation.,"Guía (7), Documento (3), Modelo (2), Auditoría (1)",indeterminado,pendiente,pendiente,16_SEGURIDAD_PRIVACIDAD_Y_DATOS/README.md,README raíz genérico,alta,Pendiente localizar README o documento rector.,generico_pendiente_activacion,Pendiente_Activacion,insuficiente,no_evaluable,confirmada,localizar documento rector alternativo o proponer README en PR posterior
