debt_id,category,item,classification,justification,risk,target_version,reopen_condition,implementation_status
DEBT-PED-001,glossary,glosario_interactivo_completo,ACCEPTED_NON_BLOCKING_EPISTEMOLOGICAL_PEDAGOGICAL_DEBT,"amplía riqueza pedagógica o institucional, pero su ausencia no impide el arco creativo mínimo validado","riesgo de expectativa o menor riqueza, sin evidencia actual de ruptura de seguridad, privacidad, accesibilidad o agencia",v1.1.0_provisional,reabrir solo con evidencia de impacto bloqueante o con plan post-v1 aprobado humanamente,NOT_AUTHORIZED_FOR_IMPLEMENTATION
DEBT-PED-002,glossary,chips_contextuales_por_mision,ACCEPTED_NON_BLOCKING_EPISTEMOLOGICAL_PEDAGOGICAL_DEBT,"amplía riqueza pedagógica o institucional, pero su ausencia no impide el arco creativo mínimo validado","riesgo de expectativa o menor riqueza, sin evidencia actual de ruptura de seguridad, privacidad, accesibilidad o agencia",v1.1.0_provisional,reabrir solo con evidencia de impacto bloqueante o con plan post-v1 aprobado humanamente,NOT_AUTHORIZED_FOR_IMPLEMENTATION
DEBT-PED-003,glossary,buscador_y_filtros,ACCEPTED_NON_BLOCKING_EPISTEMOLOGICAL_PEDAGOGICAL_DEBT,"amplía riqueza pedagógica o institucional, pero su ausencia no impide el arco creativo mínimo validado","riesgo de expectativa o menor riqueza, sin evidencia actual de ruptura de seguridad, privacidad, accesibilidad o agencia",v1.1.0_provisional,reabrir solo con evidencia de impacto bloqueante o con plan post-v1 aprobado humanamente,NOT_AUTHORIZED_FOR_IMPLEMENTATION
DEBT-PED-004,glossary,personalizacion_institucional,ACCEPTED_NON_BLOCKING_EPISTEMOLOGICAL_PEDAGOGICAL_DEBT,"amplía riqueza pedagógica o institucional, pero su ausencia no impide el arco creativo mínimo validado","riesgo de expectativa o menor riqueza, sin evidencia actual de ruptura de seguridad, privacidad, accesibilidad o agencia",v1.1.0_provisional,reabrir solo con evidencia de impacto bloqueante o con plan post-v1 aprobado humanamente,NOT_AUTHORIZED_FOR_IMPLEMENTATION
DEBT-PED-005,tools,tablero_completo_de_herramientas,ACCEPTED_NON_BLOCKING_EPISTEMOLOGICAL_PEDAGOGICAL_DEBT,"amplía riqueza pedagógica o institucional, pero su ausencia no impide el arco creativo mínimo validado","riesgo de expectativa o menor riqueza, sin evidencia actual de ruptura de seguridad, privacidad, accesibilidad o agencia",v1.1.0_provisional,reabrir solo con evidencia de impacto bloqueante o con plan post-v1 aprobado humanamente,NOT_AUTHORIZED_FOR_IMPLEMENTATION
DEBT-PED-006,tools,catalogo_vivo_de_proveedores,ACCEPTED_NON_BLOCKING_EPISTEMOLOGICAL_PEDAGOGICAL_DEBT,"amplía riqueza pedagógica o institucional, pero su ausencia no impide el arco creativo mínimo validado","riesgo de expectativa o menor riqueza, sin evidencia actual de ruptura de seguridad, privacidad, accesibilidad o agencia",v1.1.0_provisional,reabrir solo con evidencia de impacto bloqueante o con plan post-v1 aprobado humanamente,NOT_AUTHORIZED_FOR_IMPLEMENTATION
DEBT-PED-007,tools,notas_institucionales_editables,ACCEPTED_NON_BLOCKING_EPISTEMOLOGICAL_PEDAGOGICAL_DEBT,"amplía riqueza pedagógica o institucional, pero su ausencia no impide el arco creativo mínimo validado","riesgo de expectativa o menor riqueza, sin evidencia actual de ruptura de seguridad, privacidad, accesibilidad o agencia",v1.1.0_provisional,reabrir solo con evidencia de impacto bloqueante o con plan post-v1 aprobado humanamente,NOT_AUTHORIZED_FOR_IMPLEMENTATION
DEBT-PED-008,tools,integraciones_externas,ACCEPTED_NON_BLOCKING_EPISTEMOLOGICAL_PEDAGOGICAL_DEBT,"amplía riqueza pedagógica o institucional, pero su ausencia no impide el arco creativo mínimo validado","riesgo de expectativa o menor riqueza, sin evidencia actual de ruptura de seguridad, privacidad, accesibilidad o agencia",v1.1.0_provisional,reabrir solo con evidencia de impacto bloqueante o con plan post-v1 aprobado humanamente,NOT_AUTHORIZED_FOR_IMPLEMENTATION
DEBT-PED-009,ludic_learning,multiples_widgets_no_textuales,ACCEPTED_NON_BLOCKING_EPISTEMOLOGICAL_PEDAGOGICAL_DEBT,"amplía riqueza pedagógica o institucional, pero su ausencia no impide el arco creativo mínimo validado","riesgo de expectativa o menor riqueza, sin evidencia actual de ruptura de seguridad, privacidad, accesibilidad o agencia",v1.1.0_provisional,reabrir solo con evidencia de impacto bloqueante o con plan post-v1 aprobado humanamente,NOT_AUTHORIZED_FOR_IMPLEMENTATION
DEBT-PED-010,ludic_learning,nueve_tipos_de_actividad,ACCEPTED_NON_BLOCKING_EPISTEMOLOGICAL_PEDAGOGICAL_DEBT,"amplía riqueza pedagógica o institucional, pero su ausencia no impide el arco creativo mínimo validado","riesgo de expectativa o menor riqueza, sin evidencia actual de ruptura de seguridad, privacidad, accesibilidad o agencia",v1.1.0_provisional,reabrir solo con evidencia de impacto bloqueante o con plan post-v1 aprobado humanamente,NOT_AUTHORIZED_FOR_IMPLEMENTATION
