ruta_actual,nombre_archivo,marcas_detectadas,tipo_documental_provisional,riesgo_preliminar,interpretacion,decision_humana
18_DOCUMENTACION_ACTIVA/Bitacoras/Actualizacion_Bitacora_Capitan_v0_5_0_Bloque_3_v2_AI_StoryLab.md,Actualizacion_Bitacora_Capitan_v0_5_0_Bloque_3_v2_AI_StoryLab.md,V2,Continuidad,requiere_revision,Marca editorial potencial; no implica residuo automáticamente.,pendiente
18_DOCUMENTACION_ACTIVA/Continuidad/v0_4_7/Cierre_Sesion_Post_Merge_PR12_Arquitectura_Conceptual_AI_StoryLab_v2.md,Cierre_Sesion_Post_Merge_PR12_Arquitectura_Conceptual_AI_StoryLab_v2.md,V2,Continuidad,requiere_revision,Marca editorial potencial; no implica residuo automáticamente.,pendiente
18_DOCUMENTACION_ACTIVA/Continuidad/v0_4_7/Continuidad_Ruta_Desarrollo_v0_4_7_AI_StoryLab_v2.md,Continuidad_Ruta_Desarrollo_v0_4_7_AI_StoryLab_v2.md,V2,Continuidad,requiere_revision,Marca editorial potencial; no implica residuo automáticamente.,pendiente
18_DOCUMENTACION_ACTIVA/Continuidad/v0_4_7/Prompt_Activacion_v0_4_7_AI_StoryLab_v2.md,Prompt_Activacion_v0_4_7_AI_StoryLab_v2.md,V2,Continuidad,requiere_revision,Marca editorial potencial; no implica residuo automáticamente.,pendiente
18_DOCUMENTACION_ACTIVA/Continuidad/v0_4_7/README_Cierre_Sesion_Continuidad_v0_4_7_v2.md,README_Cierre_Sesion_Continuidad_v0_4_7_v2.md,V2,Continuidad,requiere_revision,Marca editorial potencial; no implica residuo automáticamente.,pendiente
18_DOCUMENTACION_ACTIVA/Continuidad/v0_5_0/PR19/Transferencia_Final_PR19_AI_StoryLab.md,Transferencia_Final_PR19_AI_StoryLab.md,FINAL,Continuidad,requiere_revision,Marca editorial potencial; no implica residuo automáticamente.,pendiente
18_DOCUMENTACION_ACTIVA/Continuidad/v0_5_0/Prompt_Continuidad_Conversacion_Nueva_v0_5_0_AI_StoryLab.md,Prompt_Continuidad_Conversacion_Nueva_v0_5_0_AI_StoryLab.md,NUEVA,Continuidad,requiere_revision,Marca editorial potencial; no implica residuo automáticamente.,pendiente
18_DOCUMENTACION_ACTIVA/Continuidad/v0_6_0/PR_NUEVO/Auditoria_Documental_Final_PR20_AI_StoryLab_v0_6.md,Auditoria_Documental_Final_PR20_AI_StoryLab_v0_6.md,FINAL,Continuidad,requiere_revision,Marca editorial potencial; no implica residuo automáticamente.,pendiente
18_DOCUMENTACION_ACTIVA/Continuidad/v0_7_0/PR_NUEVO/Revision_Final_Pre_Merge_PR22_Gate_Apertura_v0_7_0_AI_StoryLab.md,Revision_Final_Pre_Merge_PR22_Gate_Apertura_v0_7_0_AI_StoryLab.md,FINAL,Gate,requiere_revision,Marca editorial potencial; no implica residuo automáticamente.,pendiente
18_DOCUMENTACION_ACTIVA/Decisiones/Decision_Canonizacion_Bloque_3_v2_y_Deprecacion_Bloque_3_Anterior_v0_5_0_AI_StoryLab.md,Decision_Canonizacion_Bloque_3_v2_y_Deprecacion_Bloque_3_Anterior_v0_5_0_AI_StoryLab.md,V2,Decisión,requiere_revision,Marca editorial potencial; no implica residuo automáticamente.,pendiente
18_DOCUMENTACION_ACTIVA/Planes/Agenda_Evaluacion_Comprensiva_Inicio_Nueva_Sesion_v0_5_0_AI_StoryLab.md,Agenda_Evaluacion_Comprensiva_Inicio_Nueva_Sesion_v0_5_0_AI_StoryLab.md,NUEVA,Auditoría,requiere_revision,Marca editorial potencial; no implica residuo automáticamente.,pendiente
18_DOCUMENTACION_ACTIVA/Prompts/Prompt_Activacion_Nueva_Sesion_v0_5_0_Planificacion_Profunda_AI_StoryLab.md,Prompt_Activacion_Nueva_Sesion_v0_5_0_Planificacion_Profunda_AI_StoryLab.md,NUEVA,Auxiliar,requiere_revision,Marca editorial potencial; no implica residuo automáticamente.,pendiente
18_DOCUMENTACION_ACTIVA/Prompts_de_Sesion/build-final-submission.md,build-final-submission.md,FINAL,Auxiliar,requiere_revision,Marca editorial potencial; no implica residuo automáticamente.,pendiente
18_DOCUMENTACION_ACTIVA/Transferencias/Transferencia_Conversacion_Nueva_v0_5_0_Ruta_v1_0_AI_StoryLab.md,Transferencia_Conversacion_Nueva_v0_5_0_Ruta_v1_0_AI_StoryLab.md,NUEVA,Continuidad,requiere_revision,Marca editorial potencial; no implica residuo automáticamente.,pendiente
99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/prompts/task-prompts/build-final-submission.md,build-final-submission.md,FINAL,Histórico,requiere_revision,Marca editorial potencial; no implica residuo automáticamente.,pendiente
