phase,commit,subject,evidence_class,status
H08-6.0,e3a51465c58e782b42e862ad912b4afd6e56b28a,docs(h08-6): activate stabilization plan and continuity kit,documentary,PUBLISHED
H08-6.1,ca49010d4de6985226d23512044c047143e4defc,docs(h08-6.1): close baseline audit with accepted routing,documentary,PUBLISHED
H08-6.2,2b9a8f02f5b5b1b4e584d51c9d181b891e8c479c,fix(h08-6.2): improve secondary text legibility,functional,PUBLISHED
H08-6.2,e6d433907379259acbfae60367792571f3303a06,docs(h08-6): close accessibility and open security review,documentary,PUBLISHED
H08-6.3,186874e3c9c27a343e40fb02dd91726ac35b22a9,fix(h08-6.3): remediate dependency and security coverage,functional,PUBLISHED
H08-6.3,38a876eb82c5368c4e6e6b5c0a6e5c9c02023117,docs(h08-6.3): record security repairs for review,documentary,PUBLISHED
H08-6.3,f1a384c25e628a1df5db89d194e557bee325766c,docs(h08-6.3): close security and privacy review,documentary,PUBLISHED
H08-6.1,5335e8e2c4d2044db5683b7bfab2381cc333fd3f,docs(h08-6.4): establish performance and resilience baseline,documentary,PUBLISHED
H08-6.4,31d1e9223daaf2502444c6c4368c08a9e1f3703e,docs(h08-6.4): close performance and resilience review,documentary,PUBLISHED
H08-6.5,e5af2fbfd68cbf365f891d68b3495aa8e823c18e,ci(h08-6.5): update actions runtime,functional,PUBLISHED
